character,line
Elena,"What? Mack? Mack. Oh, my God. No. No."
Mack,"No, it's not it's not you. It's fine. It's fine."
Elena,I did this to you.
Mack,It's Izel. She... She possessed your body and took you hostage so she could escape.
Elena,I saw her coming for Daisy. I was trying to protect her.
Mack,You did. They're safe. It's just you and me here.
Elena,Why is she keeping us alive?
Mack,She thinks we have information about a a temple where the monoliths were meant to be taken and unleashed.
Elena,Izel took the Gravitonium device.
Mack,"She said it still contains their energies like a bottle. Her plan is to open it up. Only, she doesn't know where to go. I didn't tell her anything."
Elena,"Well, she can keep hurting us all she wants. We don't know anything about these temples. The only one that would know is Benson."
Mack,"Well, that's a name I haven't heard before."
Izel,Let's give this Benson a call. I'd like to meet him.
Daisy,"Hey. Monitor our encrypted channels, and let me know if there's any back chatter."
Piper,You're not listening. I said re-task all satellites.
Agent,"Yes, ma'am."
Piper,This might as well be Google Maps.
Daisy,Are you sure you should be up and about?
Piper,"With all due respect, Agent Johnson, if you make me go back to the infirmary, I'll mutiny."
Daisy,Understood. What do you got?
Piper,Z1 went dark right after it left the hangar Director's authorization. I'm just hoping Mack only used radar stealth. Maybe he didn't reveal its ability to cloak.
Daisy,"And unless we get a visual, there's still nothing to track."
Piper,Not even a blip.
Daisy,"Well, May's working on another lead."
Piper,And then what? Izel just overwhelms us again?
Daisy,Team Fitz-Simmons is searching for a way to prevent that. They will come up with something.
Daisy,Please tell me you have something.
Simmons,We're trying.
Fitz,Not yet.
Daisy,"Okay, well, walk me through it."
Simmons,Izel can instantly gain control of a host body's primary motor cortex.
Fitz,While simultaneously placing the brain into an unconscious state. It's actually a very complex piece of neurochemistry.
Simmons,Assuming it's neurochemical at all.
Fitz,That's a good point. That paradigm could be limiting.
Deke,"Yeah, right, we wouldn't want to limit ourselves."
Simmons,"Honestly, maybe it's just tech."
Deke,"Yeah, it could just be a gadget."
Fitz,"I think that's doubtful, ‘cause her powers are so innate."
Simmons,"Yeah, you're probably right."
Deke,"Yeah, it's not tech."
Simmons,But it could also be...
Daisy,"All right, I-I don't need to ride the roller coaster that is your thought process. Please just tell me how to prevent her from wearing a body like a sock puppet."
Fitz,We'll find something.
Deke,We're on top of it.
Daisy,What about the other problem? The one everyone thought was dead.
Simmons,"When he started healing, I didn't know who I could trust or how it was happening. Now we may have some idea, but you know as much as I do."
Daisy,Do you believe what she said? That his body's being inhabited by some being?
Simmons,"We've seen it before, with Robbie Reyes."
Daisy,"I hope May studied the footage before she went in there, because she'll have to pry the truth out of him. He's been hiding it."
Simmons,"Yeah, she watched it a few dozen times. I've loaded the room with equipment. I'm running every multi-spectral scan I can think of, trying to understand what's inside him."
Daisy,She'll get him to tell us.
Simmons,Yeah.
Daisy,What aren't you saying?
Simmons,"Izel told Sarge that his memories of... of loss, of family..."
Daisy,Heard all about it.
Simmons,"That's the part May watched over and over. She thinks... Daisy, she thinks he's remembering us."
May,"So, you never even questioned where you came from?"
Sarge,Why would I? I didn't know I had someone else's face until I got here.
May,And now that you do?
Sarge,"Well, I don't suddenly feel like a different person."
May,"These, um, echoes, as she called them they've gotten clearer the memories?"
Sarge,I never used that word. It's always just been a sense... a feeling in my bones.
May,You said that they all felt real.
Sarge,"What's real is the time I spent chasing Izel across the galaxy with my crew, as myself."
May,Trying to get revenge for something that never happened?
Sarge,It's not like the lies you tell yourself are any more true. You want me to be someone I'm not.
May,I never said that.
Sarge,You didn't have to.
May,"I recognized you, yes. But can you really say that there's no part of you that recognizes us? If you have his memories, can feel what he felt, I'm hoping that you will..."
Sarge,I'm not the cure for your loneliness!
May,He's being defensive.
Daisy,That's what you took from the conversation? He almost broke through the table.
May,"Getting through to him is still our best shot, but it's not something we can force."
Daisy,"Maybe we should. You are Melinda May! You could beat it out of him if you wanted to. But you won't do that, will you? You're hoping Coulson's in there somewhere."
May,"Fitz says Sarge might've been created from him, and Izel basically confirmed it!"
Daisy,We don't know how he was created! O-Our fears manifested in w...
May,"He was afraid to die, and I was afraid of losing him. Weren't you?"
Daisy,She said that there's another thing inside of him that could defeat her. We should be focusing on that.
May,Waking that part of him is exactly what Izel was trying to do. He should be fighting it.
Daisy,"Who should?! I'm sorry, May, but the person that is in there is not the man that you loved."
May,Move.
Daisy,I understand holding out hope that Coulson is somehow back.
May,"I wish he was back. To remind you of the days I was your S.O. And also, to look for the good, no matter how scared you are to face it. You want to force it out of him, go ahead. But if it backfires, it's on you. We have enough to worry about with Mack and Yo-Yo MIA."
Foster,"It's this way, Professor Benson."
Mack,I wouldn't try anything. Unless you want me to use these hands to choke the life out of you.
Benson,"Good to see you again, Director."
Mack,Good to see you.
Benson,"Agent Rodriguez. I'm excited to see this plane that you, uh, talked so much about. Although I expected to see more of the team here."
Mack,"The mission is need-to-know. The, uh, enemy that you've been researching, it's not just theoretical anymore, so we need to be careful about who we trust."
Benson,"Well, let's get to it. It's been a bit of an adventure. Now, these runes are referencing a site where the “Di'Allas,” as they're called the the monoliths which could be used to open a doorway between our world and the world where Izel comes from."
Mack,"Hmm. Well, does the story say for what purpose?"
Benson,"Well, I brought a passage that references “trapped souls, yearning to be free.” Take from that what you will."
Mack,"Well, do you have a location?"
Benson,"Well, I've narrowed it down to three possible sites, but my money's on the one at the intersection of two lay lines. It would prove Keller right once again."
Elena,I'll make sure to tell him you said that. He'd be amused.
Mack,"All right, perfect. Well, we'll start there, then."
Benson,"Well, I-I I think it's best if we get some hard evidence. Let me do some low flyovers of the three sites."
Mack,I could always have someone else examine the sites.
Benson,I think it best we play this close to the vest until we're sure.
Mack,"Of course. Then you can just show me the coordinates on the map. Benson. Give me the location. That's an order. Hm. All right, well... if you've made up your mind."
Benson,"S-So, the stories are true."
Izel,"If you heard the stories, then you know what I'm capable of. Let's find this temple, shall we? You were giving such an informative presentation before we got interrupted. Care to continue? I just want the coordinates."
Elena,"Don't say anything, Benson."
Izel,"You already made me take one life. I can take another. Maybe yours? If I use her body, it'd be quick."
Benson,"If you want me to help you end the world, I'm gonna have to pass."
Izel,So brave.
Benson,I won't give you anything.
Izel,"You believe that now, but will you feel the same when death is closing in?"
Benson,I've already lost everything that matters. Death doesn't scare me.
Izel,Maybe it doesn't. But there must be something you fear.
Daisy,"So, how'd you do it?"
Sarge,I don't know. Probably best to leave it that way.
Daisy,"Well, I was hoping to, uh dig a little deeper."
Sarge,"If you're here for another walk down memory lane, like Agent May, I'm not interested."
Daisy,"Forget what May said. The other thing inside of you, it's getting stronger. The healing, and now this? Izel thinks that you're like her. Are you?"
Daisy,She says that you're the only thing powerful enough to defeat her.
Sarge,I've been trying to kill her for decades.
Daisy,"And in the past, you failed. But now now you have a new way to fight back."
Sarge,It's not worth it. I can feel the rage churning underneath my skin.
Daisy,Use it. Let the anger out.
Sarge,I don't want to. I want it gone.
Daisy,Are you scared? That it's stronger than you are? You're afraid that this is the real you. So come on. Just show us what you really are.
Sarge,"You're enjoying this, aren't you? Trying to torture me, working out your own rage. May said I was like a father to you. You got some daddy issues?"
Daisy,"You are nothing to me. Do you understand? You are nothing. So if you think that this manipulative crap is gonna work on me, you're wasting your time."
Daisy,Where are we on the Izel problem?
Fitz,Progressing slowly.
Simmons,But we have analyzed some potential weapons to use against her.
Fitz,This sword is a more complex version of these other blades.
Simmons,Which were able to kill her Shrike.
Deke,Yep. Saw that firsthand.
