character,line
Taryan,"Quake. I rescued humanity. Did you know that? I want to believe you, Daisy. May I call you “Daisy”? So, this is Quake, Destroyer of Worlds."
Taryan,Give yourself a moment to adjust. Your mind will clear shortly.
Daisy,Where am I?
Taryan,"A neutral location perched near the edge of the galaxy, safe. I assure you. Allow me to introduce myself. I am the firstborn Taryan, master of the house Kasius."
Daisy,Kasius?
Taryan,"Please, just hear me out. You are Inhuman. I always knew the tales of the experiments were true."
Daisy,"Okay, for the record, we don't love to be called experiments, just “moving forward.”"
Taryan,"No, I imagine your people treated you unkindly."
Daisy,I've worked through it.
Taryan,"You deserve better. All Inhumans do, something better, elsewhere."
Daisy,Where are my friends? May? Coulson?
Taryan,You mustn't worry about them. They are your past. I am your future.
Qovas,You are now prisoners of war. I suggest you use your time to consider the disrespect you've shown me.
Coulson,"Suggest all you want. You're just the villain of the month, and you're going down, just like all the rest."
Qovas,"And how do you plan to stop me? With Earth weapons? The tools of cowards. We Remorath earn our kills. That is how we earn our rank. With humans, it's not about earned power. It's about the gun. It allows the weak to pretend to be strong."
May,I don't need a gun to stop you.
Qovas,"I have several ioniser missiles aimed at your Lighthouse right now. If you or your people do anything, I will release them. Since you like weapons so much."
Qovas,Will they be held indefinitely or scrapped?
Talbot,That depends on whether or not they push you to it. Don't worry. I know what I'm doing. We are both about to get everything we need.
Qovas,All I need is gravitonium.
Talbot,"Well, I know someone who may be able to help us out."
Simmons,"It's all a bit unpleasant, isn't it?"
Fitz,Try not to think about it. Do you think it will work?
Simmons,"Daisy's plan? I don't know. Frankly, the Centipede Serum is terrifying to me."
Fitz,"Yeah, let's... let's walk through the simulation one more time."
Simmons,"Yeah. The Centipede Serum forces new cellular pathways, like biological infrastructure. In doing so, it can also carry any element we feed it."
Fitz,"For example, Jiaying's healing DNA which we could deliver to, say Coulson's ailing cells."
Simmons,Should work. It's just...
Fitz,"What Yo-Yo said, the danger."
Simmons,Yeah.
Fitz,"Well, I've been thinking about that, and her warning was that trying to save Coulson ends the world, right? But, what if... what if... what if we don't just try? What happens if we actually succeed? Jemma, what if there's another way to frame this?"
Simmons,"Coulson wasn't there in the future. You're saying we break the loop, not by allowing someone to die but by making sure they live?"
Fitz,What if all we have to do is not fail?
Simmons,That's quite an audacious leap especially from someone who once believed time cannot be changed.
Fitz,Maybe it's time to be audacious.
Deke,You got to be kidding me. That is totally nuts.
Davis,"No, no joke. It really happened. Good thing, too, otherwise, AIDA would've killed me."
Kin,I've had to hear this story enough.
Deke,"Yeah, but that's the most incredible story I've ever heard, and I'm the same age as my grandparents."
Kim,"I am done, by the way."
Davis,"All right, oxygen's been re-routed from non-essential parts of the plane."
Deke,"Then, I guess we can breathe easy, right, wait for the stalwart team to get back?"
Kim,Did you hear that?
Deke,Damn.
Talbot,I've spent some time on this plane. Quinjet is this way.
Deke,"Okay, come on. How do I get this thing working?"
Mack,The warnings were right.
Deke,"Zephyr to Lighthouse. Mack, anyone? Mack, are you there?"
Mack,"Yeah, yeah, I'm here. Talk to me. What's going on?"
Deke,Things have gone a little crazy.
Mack,"Yeah, I know. It's all over the news."
Deke,"No, no. Talbot. It's... He... He's boarded us. Him and his new Remorath friends."
Mack,Talbot. Did he see you?
Deke,No. And that's a good thing. Agent Kim wasn't so lucky.
Mack,Talbot killed Kim.
Deke,"Very, very much. The general's not on our side anymore, okay? He... Oh, no."
