character,line
Eddie,"Can I let you in on a little secret? I've got a genuine, honest Abe, God-given superpower. You want to know what it is?"
Coulson,I'm afraid to guess.
Eddie,I can look at any man and tell him exactly what kind of car he should be driving.
Coulson,Maybe I'll just look around.
Eddie,"Y-you know, I look at you, and I see a man who's played it safe his whole life, but lately feels like he's stuck in a rut. Life's lost its thrill. The kids are monsters. The wife's taken to muumuus. And now you're thinking, “it's time to let the tiger loose.” Am I hitting the mark?"
Coulson,Amazing.
Eddie,Then this is the car for you.
Ciyksib,"Actually, I'm interested in this S.U.V. I'm going off-roading. I need something that can take a beating. I'll pay you cash right now."
Eddie,"A man with cash is a man with class. I'll do you one better. A 2010 4-wheel drive Wrangler Rubicon. Came in a bit pricier, but she's a beaut. It's... well, it looks like this one here."
Hunter,Get in.
Coulson,What are you doing? Put that back. I'm making a deal.
Hunter,For that piece of junk?
Eddie,"This is my vehicle. You know, I need you to get out of there right now."
Coulson,We're not criminals. We don't want to draw any more attention.
Hunter,"If it makes you feel better, you can send him a check. Oh, wait. No, we can't, because our bank accounts have been frozen. So just get in. I'll get you to Skye, I promise."
Eddie,Hold on a second. You two are in cahoots? You know what? I-I'm gonna call the police.
Coulson,"See what you did? He's calling the police. Are you happy? Sorry, Eddie. The tiger's been loose for awhile."
Gordon,Hey. Everything's gonna be okay. You're safe now.
Skye,"Gordon, where am I?"
Gordon,This is the place I told you about. You called for me. Do you remember?
Skye,How long have I been here?
Gordon,Two days.
Skye,"T-t... I need to I need to go. They need me. Something bad has happened. Oh, why can't I move? What are you doing to me?"
Lincoln,"You're healing. Leaving now wouldn't exactly be... You ever made microwave popcorn? Leave it in too long, and it's charcoal. Take it out too soon, and it's a bag of kernels. That might be the worst analogy ever. Gordo, help me out here."
Gordon,You are on your own with this one. I have to go now. You're in very good hands. He's smarter than he looks.
Lincoln,How do you know that? He's been by your side since the moment you got here.
Skye,Who are you?
Lincoln,"Sorry. I thought... I'm Lincoln, your transitioner. Right. I-I keep forgetting you're new to this. E-everyone who goes through terrigenesis has, uh, a transitioner to help them."
Skye,Please cut to the chase. I...
Lincoln,"Right, yeah. Let me start from the top. Imagine a thousand years of evolution taking place instantaneously. T-that's what happened to you after the mist. These treatments... we're helping your body adjust properly to the change, transitioning you quickly and painlessly, I hope. We usually like to start the process right after the mist, but as..."
Skye,How long? How long? When can I go?
Lincoln,"You got places to be, people to see?"
Skye,I'm worried about my friends. I think they're in danger.
Lincoln,"You're the one that's in danger, Skye. Remember? You're being hunted."
Gonzales,"Seven agents down, Calderon barely hanging on, and you want to defend that thing?"
Morse,"She's a S.H.I.E.L.D. agent, not a thing. What happened wasn't her fault. I was there. Calderon fired at her."
Gonzales,She was armed and hostile.
Morse,She was scared and defending herself.
Gonzales,I don't care if she was chasing butterflies. We can't wear kid gloves around something with powers of that magnitude. She could have killed everyone.
Morse,But she didn't.
Gonzales,Only because that other freak pulled her from the fight. Was he one of Coulson's?
Morse,We've only recently encountered him. Coulson's as in the dark as we are.
Gonzales,"Are you certain about that? If Coulson's collecting powered people, we need to know before they come knocking on our door. No one wants a war, Barbara."
Morse,That's not gonna happen. Coulson's reasonable.
Gonzales,Then we need to get into that box to know for sure.
Morse,"Well, then you need Fitz."
Fitz,"Pure vibranium shell... no ports, no external power source. How do you get inside to retrieve the data?"
Simmons,I suspect advanced biometric access points.
Fitz,Probably loaded with self-destruct triggers.
Simmons,Yeah.
Gonzales,"Leo Fitz, Jemma Simmons, the ones that got away. I had my eye on you two when you were at the academy. I wanted to recruit you, but Coulson beat me to it. I heard he actually bribed Weaver with cupcakes. Robert Gonzales."
Simmons,"We know who you are, and we are quite aware of your commendable reputation. Under different circumstances, we might even be flattered. Which is why this is so hard to comprehend."
Gonzales,"Under different circumstances, we would have preferred to be invited guests, but that forced our hand. We had to take it out of play."
Simmons,What's inside that's so important?
Morse,All we know is that Coulson and Fury both believed it was valuable enough or dangerous enough to protect with extreme measures.
Fitz,Maybe it was their favorite recipes.
Gonzales,"Maybe it is. Then, maybe, we can put all this behind us and move on. That's why I'm asking you for your help, Leo."
Simmons,"And if he refuses, will you lock him up, like you did Agent May?"
Gonzales,There are no prisoners here. We are all S.H.I.E.L.D. agents. Exit protocols have not changed.
Morse,"Once you're cleared and debriefed, you're free to go, if that's what you really want."
Fitz,Okay. I'll start packing my things.
Simmons,You should have brought cupcakes.
Morse,Well... You have to admire their loyalty.
Gonzales,Loyalty to a man and not to S.H.I.E.L.D. That makes Coulson as dangerous as whatever's in that box.
Hunter,What the hell happened here?
Coulson,Skye.
Hunter,"Did they do this to her, or did she do it to them?"
Coulson,One way to find out.
Hunter,"My God. Skye's doing that? Glad she's on our side. She's still on our side, isn't she?"
Coulson,This isn't good.
Hunter,"Well, at least they didn't take her. That means she's out there, so we'll find her and... that's new. Did she just get abducted by aliens? What the hell was that?"
Coulson,We don't know what he is. He took Skye's father and Raina.
Hunter,Seriously? I was only gone a week.
Coulson,"We don't know where he comes from, where he goes, or who he works for. He doesn't leave trails or clues. I lost her."
Lincoln,How are you feeling?
Skye,Kind of normal.
Lincoln,"Normal's good. Yeah. We flushed your lymphatic and circulatory systems, so you'll be weak for a few days, t..."
Skye,I need to give a message to my friends.
Lincoln,Gordon's the only one who can make contact with the outside world. We can talk to him when he gets back.
Skye,Where exactly are we?
Lincoln,"No one really knows. Uh, the official name is Chinese, I think, Lai Shi, doesn't exactly translate. So we just call it “Afterlife.”"
Skye,You say the name of this place is Chinese. Are we in China?
Lincoln,"No idea. Gordon's the only one who knows where we are, and he's the only way in or out. It keeps us secret and safe from the outside world."
Skye,Or it keeps us prisoners.
Lincoln,"You're not very trusting, are you?"
Skye,"I woke up naked on a table in a place no one can even point to on a map, so... call me crazy."
Lincoln,"You weren't totally naked, and you asked Gordon to bring you here. No one's gonna force you to stay. It's not a bad place. The night life's a little lacking."
Skye,So you live here?
Lincoln,"No one lives here not permanently. It's more like a way station. I'm from Cincinnati, trying to finish med school. I'm brought here when I'm needed. Some people come here when they need a safe place to stay."
Skye,Why do I feel like the new kid in school right now? Everyone is staring at me.
Lincoln,Gordon didn't explain?
Skye,"No, I thought you said that everyone here is like me and that this happens all the... time."
Lincoln,"Are you kidding? T-this has never happened. Things here have always been done a certain way. These people are descendants, yes, but most of them are waiting to be chosen. They carry the genetic marker and have been brought here to be evaluated, cultured, and prepared for the change should they be selected, but that only happens to one person every few years."
Skye,They actually want to go through?
Lincoln,This tradition has been passed down through countless generations.
Skye,And I jumped the line.
Lincoln,"And not only did you go through without permission or prep, but you did it old-school, with a diviner in a kree temple. Uh, that hasn't happened for thousands of years. You can see why some of these people might be a little envious."
Skye,I'd gladly change places with any of them. I didn't want this.
Lincoln,I understand.
Skye,"Uh, the woman who changed with me, Raina... Gordon took her and my father. Are they here?"
Lincoln,"Gordon takes people everywhere. It's his job to keep us safe. I promise, there is no one here who will harm you. You're protected."
Gonzales,"Is it true that Fury asked you to spy on Coulson because of these GH-325 transfusions? Is it also true that Coulson himself asked you to put a bullet in his head because of it? That's the man that you helped escape, a man that Fury didn't trust, a man that you yourself didn't trust, a man that didn't even trust himself. There's loyalty, and there's stubbornness. Tell me, Agent May, are you loyal to Coulson or to S.H.I.E.L.D.?"
May,They're the same.
Gonzales,"Coulson's powered pet tried to kill seven of our agents. Dedicated S.H.I.E.L.D. agents with families, and you're gonna say that they're the same?"
May,Coulson had nothing to do with Skye's powers. They were caused by a weapon in Hydra's possession.
Gonzales,That you were chasing because of some voices in Coulson's head.
May,We were pursuing Hydra because that's our job. It's what we should all be doing right now instead of wasting our time on some witch hunt!
Mack,What are you doing in here by yourself?
Morse,There's too much bad blood out there. They think we're traitors. How you holding up?
Mack,Uh... We always knew this wasn't gonna end in a big group hug.
Morse,"Coulson's a good man, Mack."
Mack,Yeah. He's a good man who's been compromised.
Gonzales,Coulson should be in the index with Agent Skye. You of all people know what happens when powered people lose control. You had to put one down. Isn't that why they call you the Cavalry?
May,So you want to put down Coulson and Skye?
Gonzales,"I want to avoid it. His actions are leading us to a deadly showdown. Help me find him, and we'll stop it."
May,"Don't worry. When he's ready, he'll find you. Coulson is the one man you can never put down."
Coulson,You always travel with whiskey and shot glasses?
Hunter,Never know when you're gonna need something to keep you warm on a cold night.
Coulson,Two glasses?
Hunter,The other one's for the person keeping me warm.
Hunter,"But in your case, I'll make an exception."
Coulson,I need to keep my head clear. S.H.I.E.L.D. and Skye gone in one day. How could I let that happen?
Hunter,There's no way you could have known. They fooled all of us. Bobbi and Mack are conniving liars and thieves. And the next time I see either of them...
Coulson,They're good agents. Try to see it from their side.
Hunter,"Screw their side. There are very few people in this world that I'd throw down with, but you're one of them. Gonzales, the “Love Boat” Captain? Not if hell froze over."
