character,line
May,"Mmm, you're up early."
Andrew,"Hey, we got a family to make, and there's only one way to do that. And I'm dedicated to the cause."
May,"Hmm, so thoughtful."
Andrew,"When you get back, maybe you and I can take a trip."
May,Hmm.
Andrew,Somewhere warm. Focus our efforts to expand. He's gonna be a hell-raiser.
May,"Uh, not in my house. My house has rules."
Andrew,"Oh, so you plan on being exactly like your own mother?"
May,"What... with a few modifications, yes. He's always early. Stall him."
Andrew,Come on in! It's open!
Coulson,Andrew?
Coulson,Good morning. You really leave your front door unlocked?
Andrew,"Uh, got the best security system in the world. And you're early. This is my time."
Coulson,Sorry.
Andrew,"So, who you going after? Am I about to get a new patient?"
Coulson,"Don't know yet. But yeah, maybe."
May,"Hey, no leaking operational secrets. Come on, Coulson. We're gonna be late."
Coulson,I'm early.
Andrew,Keep her safe out there.
Coulson,She's supposed to keep me safe.
May,Yeah.
Andrew,Hey. You be careful.
May,"I will. And when I come back, we've got work to do. Come on. I got to go."
May,"O'Brien, thanks for the tunes."
O'Brien,Anytime. It's one dull flight.
May,This really gifted individual? What do we know?
Coulson,Not much yet. You know they're retiring this fleet?
May,About time. S.H.I.E.L.D.'s putting every dime into the triskelion.
Coulson,"Well... not all the dimes. Fury's quietly started a new initiative. Instead of this catch-and-release with powered people, we form a team, take Earth's mightiest to find out if they're heroes."
May,And you mention this because you want my help?
Coulson,"Well, I know you got the family-planning thing going on."
May,I'm staying in the field.
Coulson,"Good, ‘cause you'd be great. And that way, we could keep working together."
May,"Mm-hmm. Uh, one mission at a time. Look alive."
Coulson,Agent Hart.
Hart,"We've got her, Phil. Gather up! Meet Eva Belyakov, 35, index candidate. Russian intelligence has been pursuing her. Agents Coulson and May have been brought in to advise and make the approach."
Coulson,"Thank you. We believe miss Belyakov possesses enhanced strength. This is what happened when a Russian officer tried to stop her with his car. She fled Russia unharmed. Looks pretty strong to me, so it's important we don't spook her. Just a friendly chat to bring her in for evaluation. And if all goes really well, we'd gain an asset before the Russians find her."
Hart,"The approach will be public. It's not ideal, but we go in now, we lose our window. Local military's not used to standing down. Welcome to Bahrain. Let's hope Belyakov cooperates."
May,And if she doesn't?
Hart,Then I call in the Cavalry.
Morse,Gonzales has Shanghai quieted down. Agents will extract in two hours.
Weaver,Are we having any issues following Agent Fitz?
May,You tailed him?
Morse,He resigned. Fitz has a lot of ideas. We're just making sure that he doesn't get any crazy ones.
May,Like seeking out Coulson?
Weaver,We find answers where we can. Perhaps you can fill in a few of the blanks. Specifically about powered people. What about project deathlok? How long has Coulson been running Mike Peterson?
May,The contact has been minimal. He wasn't an active asset.
Weaver,Seems pretty active to me. Do you expect us to believe he's not part of Theta Protocol? You can at least tell us what you do know about it.
May,Coulson doesn't bore me with the details of every little operation.
Morse,"May, we know this is massive. We have evidence that Coulson has quietly been moving alarming amounts of resources and manpower all over the globe."
Weaver,"The only thing we found linking all these activities is a code name, Theta Protocol. There's no more details he shared with you?"
May,Any director of S.H.I.E.L.D. has secrets.
Morse,We're not talking a few black-bag operations.
Weaver,Take your entire current budget and match it with this one program.
Morse,"That's why we want to open Fury's toolbox, for answers."
May,And I'm sure there's a simple one. Let me take charge of my base and I'll talk Coulson in peacefully.
Weaver,"That's great. But so we're on the same page, all our Intel on Coulson. You know him best. Tell us, are we right to worry?"
May,I know Coulson's not our enemy.
Jiaying,I want to know where you're from. Did you make friends there?
Skye,At S.H.I.E.L.D.? Yeah. They're like family. Or they were.
Jiaying,Until you changed? They sent agents after you.
Skye,I don't know what happened. I know I impaled a guy.
Jiaying,Who shot at you.
Skye,No. I lost control.
Jiaying,Do you understand your gift?
Skye,I make things shake?
Jiaying,"Well, not really. Everything's shaking already, vibrating at its own natural frequency. This stone, the wood in the trees... I believe you can learn to sense those frequencies around you and resonate with them so that not everything is shaking, only what you choose."
Skye,Sense a frequency. How do I do that?
Jiaying,I don't know. I'm not the one with the gift. I just work here.
Skye,You think I can hear the stone?
Skye,Whoa. You've got to be kidding me.
Jiaying,Can you hear it?
Skye,"No, not the stone. The mountain. It's the loudest thing here."
Jiaying,"Well, now take that frequency and see if you can amplify it."
Skye,"The last time I did something like this, a lot of people got hurt."
Jiaying,"You can't hurt the mountain, and you're not gonna hurt me. Don't be afraid."
Skye,I moved a mountain.
Jiaying,Remember that feeling. It's not something to be afraid of.
Hart,"Faisal Ahmed, may I introduce agents Coulson and May. Faisal is with Bahrain National Security."
Coulson,"Pleasure, sir. Your people have been tracking her?"
Ahmed,"Yes, we followed Miss Belyakov to a café in this market. This is a very dangerous area. Black-market importers, thieves, not a place for tourists."
Coulson,So she didn't come for falafel. She could be meeting with anyone.
Ahmed,"Whatever she wants, it's not good. Unless she leave with you, our military will take her."
Hart,This is our window. Fury will have our asses if an index candidate ends up in government hands.
Coulson,Okay. We'll make this work.
Coulson,"Hello. May I? My name is Phil Coulson, and I'm here to help. My group specializes in helping people like you, who have gifts."
Belyakov,And why should I trust you?
Coulson,"Because I could take you somewhere safe. I know you've been on the run, but S.H.I.E.L.D. can protect you. You're not alone in all of this."
May,Locals incoming. Gun. Blue shirt.
Hart,Agent O'Brien. Be sure they don't interfer.
Coulson,Why don't we go somewhere more secure?
O'Brien,Hey. Can I talk you for a minute?
Belyakov,No. I like it here.
May,"Coulson, we're running out of time."
