character,line
Simmons,Feels good to be home. Just didn't think it'd be under these circumstances. Did you pack the explosives?
Fitz,I did.
Simmons,And the extra ammunition?
Fitz,Of course.
Simmons,I just want this to work. After everything we've done to get here.
Fitz,You made a choice. Don't look back.
Elena,What are the chances that we find this weapon here?
Fitz,"Gideon Malick hinted that this place was a crucial R&D site for HYDRA. It's our best bet, by far. Autopilot will land the Quinjet somewhere nearby, keep it cloaked until we get back."
Simmons,Ready if you are.
Elena,So ready.
Simmons,I was thinking we could come back to England for our honeymoon if we ever got one.
Fitz,Sounds perfect!
Elena,"Don't make me the third wheel, guys."
Simmons,No trouble with the straps this time.
Fitz,We've come a long way!
Talbot,I got to take five.
Coulson,"No, no, no. No, no, no. We could've been followed. We can't stop now. Come on. Come on."
Talbot,"What do you care? You left me alone for months, Phil. I'm sure you can manage another couple of minutes, can't you? Don't job down his throat. He's all you got."
Coulson,"For what it's worth, I'm sorry we didn't find you sooner. Now come on."
Talbot,"Just trying to hold out, Phil. Where were you?"
Coulson,We were in the future.
Talbot,"You were in the future. What, do you guys live in some fifth-dimension freak show?"
Coulson,I'd say that's a relatively accurate description of our day-to-day life.
Talbot,"Yeah, well, not mine. If we get out of here, I'm... I'm done! I'm too jumbled as it is."
Coulson,Hey. You gonna let someone like Hale get the best of you? Huh?
Talbot,"She broke me, Phil. I let down the Air Force, my country and I let down my family. I'm not gonna be able to look Carla in the eye again."
Coulson,"Hey, hey, hey. I promise you, no one's gonna see it that way."
Talbot,"Yeah? Well, I do. It's kind of a moot point if we freeze to death out here, isn't it?"
Coulson,That's why we got to keep moving.
Daisy,"We're never gonna find them. We've been circling the Trident Range for hours, and there's still no sign of Coulson and whoever he's with."
Deke,"Well, that's a surprise, considering we're following such a detailed map."
May,Robin's been right about everything else.
Deke,"Yeah, well, what if this doesn't happen for another month or... or a year? Would it kill her to draw a calendar?"
May,Why don't you go ask her?
Deke,"Well, I thought that I left all this prophecy crap back in the future."
Daisy,"Deke, you're not helping. Maybe we should change tactics."
May,What are you thinking?
Daisy,"The cloud cover's too thick to see through anyway. We should land, canvass the area on foot, let Coulson find us."
May,Hale's hideout could be nearby. We'd be exposed.
Daisy,Give him a shot.
May,If you think it's the right call.
Daisy,"Davis, find a place to set her down."
Davis,Okay. Where'd you have in mind?
Daisy,Anywhere.
Coulson,We should start looking for shelter. Maybe get a fire going. Were you ever a Boy Scout?
Talbot,Brigadier General outranks a Boy Scout.
Coulson,Run.
Coulson,"No, come on. We got to keep moving. Come on."
Coulson,You got your powers back.
Daisy,"It's a long story. May, get them back to the Zephyr. I'll take care of her."
May,Not a chance.
Daisy,It's a rescue mission. Look at them.
Coulson,"So, how'd you find us?"
May,Robin.
Coulson,"A little bit like cheating, don't you think?"
May,Keep moving.
Daisy,"And, Deke, watch their back. That's an order."
Ruby,"Oh. The legendary Quake. You know, you're much prettier in person."
Daisy,"And meaner, so I'd stay where you are."
Ruby,"It's funny. I have your poster up on my wall. You're like that, uh, hero that every little girl wants to be when they grow up."
