character,line
Woman,"Then at last, to be told there's no hope. I'm not to see."
Man,Don't say that. You're going to see with my eyes.
Woman,That's why I'm here.
Man,"Listen, you called me “friend” once. Will you let me think you meant it? Will you let me be hands and eyes to you? Because I've nothing else to do the whole rest of my life but help you see whatever you want to see."
Karla,Yes?
Cal,Is this Karla Faye Gideon? Got your name off the gifted index.
Karla,"Um, I'm... I'm sorry. Are you with S.H.I.E.L.D.?"
Cal,"I'll try not to be offended. We are absolutely not from S.H.I.E.L.D. Show her. Levi, an old buddy of mine. Genius. S.H.I.E.L.D. implanted a chip in his arm. Couldn't get within 100 feet of any tech. I found him holed up in an RV in the Mojave. But now, sans chip, this guy manages to decrypt the index for me. Led me to Francis. Three years, they kept him in a cage. Meds to keep him docile. I know what S.H.I.E.L.D. did to you. How long has it been since you touched someone, since you felt a sensation on your fingertips? We want to free you from these shackles. All you got to do is say that you..."
Cal,"Feels good, doesn't it? Freedom."
Cal,"Don't you think it's time everyone learn how S.H.I.E.L.D. treats people like us? We're gonna teach them a lesson, and we want you to join us. I know. I sound bat-guano crazy. Except S.H.I.E.L.D. Nah. Not so mighty anymore. A handful of agents. Director is a door-to-door salesman of a man."
Karla,"Still, I'm... I'm not powerful myself."
Cal,"None of us are. But together, we're a force. What do you say?"
Karla,I'm in.
Skye,"Mmm. I got to say, Director, no doubt, the best grilled cheese I've ever had."
Coulson,Secret ingredient. Don't ask. I will not disclose. How you doing with all the monitoring?
Skye,I barely notice it.
Coulson,We wouldn't subject you to it if it wasn't absolutely necessary.
Skye,I assume you're putting me on the gifted index.
Coulson,We are.
Skye,"I've been doing some monitoring of my own. Check this out. My entire life, I've been searching for my parents, and my search ended with answers that are so much worse than I could have imagined. Sad, twitchy, not-all-there dad, a dead mom, alien mist that turned me into a walking natural disaster, a friend dead..."
Coulson,Hey. Trip was not your fault.
Skye,"My point is, I'm steady. Nothing is shaking. I'm stopping them before they start."
Coulson,That's good.
Skye,"If I keep working on this, I can be back in the field in no time."
Coulson,She's acting like everything will go back to normal.
May,That's what she does. Does she know we're putting her on the index?
Coulson,Yeah. She does seem to be getting control of the powers.
May,"That's good, but we barely understand them... other than they're strong."
Coulson,Catastrophically so.
May,Protocol is anyone on the index undergoes a full psych eval and threat assessment.
Coulson,We'd need to bring in someone from outside.
May,Someone we can trust.
Coulson,I know who I'd call... if it weren't a thing.
May,Andrew? It's not a thing. He might say no.
Coulson,Reach out. See what he says.
Morse,Wonder where she's off to.
Simmons,Another question in the long list of questions I don't have answers to.
Morse,What is it?
Simmons,Coulson asked me to complete Skye's index file to the best of my ability. I'm afraid my best is woefully insufficient.
Morse,"It's bizarre, the extra macromolecules."
Simmons,"Raina's DNA is the same. The mist triggered something inside them, something waiting to be activated. But how Skye is able to..."
Fitz,"Sorry. I'm just, um, looking for... Ah. Got it."
Simmons,...able to create a vibrational force? That I don't understand at all.
Morse,How long are you gonna give him...?
Simmons,He lied to me.
Morse,We're spies. We lie for a living. Fitz's intentions were good. He wanted to protect a friend.
Simmons,"From me? And how is that protecting her? Corrupting data, altering test results? Fitz and I shared science. It was sacred. Now that's changed, too. I have to accept that he's different now and our relationship won't ever be what it was."
Morse,"Little early to sound the funeral bells, don't you think?"
Simmons,"A betrayal of trust like that, it changes everything."
Morse,Where are you now?
Mack,I just made it to the nearest safe house.
Morse,This is such a mess.
Mack,"Yeah, a mess I didn't make, but I'm cleaning it up the best way I can. I wasn't gonna let him expose us."
Morse,"No, I-I know."
Mack,"All right, so what now, Bobbi?"
Hunter,"Mack, are you talking to Bobbi? Tell her I take it all back. All the “don't die out there...”"
Mack,Sorry.
Hunter,I'd be better off if she had died out... Hope she rots in hell!
Morse,I never wanted this.
Mack,"No one did. But I got no exit strategy, and the longer I'm gone, the more questions Coulson's gonna have."
Morse,We'll bring him in. Sit tight. I'll arrange an extraction.
Mack,And you know where I'll be.
Morse,"And, Mack, get him a beer or something."
Andrew,"Well, there's no substitute for actually spending time with a patient. You just can't get around it."
Student,What about the new software to track emotional health?
Andrew,"Software won't anticipate a manson or a Bin Laden. The human mind is infinitely complicated. It's messy and... and surprising. Well, if you'll excuse me."
Student,Thank you.
Andrew,Long time.
May,Yeah. S.H.I.E.L.D. needs your help.
Andrew,I haven't worked with S.H.I.E.L.D. in a long while. I moved on for a reason.
May,It's a different S.H.I.E.L.D. Coulson's the director now.
Andrew,"Okay. Why me? Is, uh, Skye that bad?"
May,She's that good. Good agent. I'm her S.O.
Andrew,You're back in the field?
May,"So, what do you think?"
Andrew,"What do I think? I think... What the hell, Melinda? You show up asking for a favor, but when I called you after S.H.I.E.L.D. collapsed to check if you were all right, not a word."
May,It was a busy time.
Andrew,"“Busy.” Yeah, all right. Well... thanks for the apology. If I do this... I have conditions. No observation, no monitoring, other than what's deemed medically necessary. My sessions with her are in private. My evaluation won't be. She gets a copy. My duty is to her, not S.H.I.E.L.D."
May,"Like I said, it's a different S.H.I.E.L.D."
Andrew,My consultation fee's gone up.
May,I should have called you back.
Andrew,"Nah, I talked to your mom. Huh. She told me you were alive. We had a nice talk. She invited me over for dinner, and..."
May,I'm not surprised. She still hasn't forgiven me for divorcing you.
Cal,"Excuse me, sir. You know, we... we must have made a wrong turn back there. I think we're lost."
Man,Where are you trying to get to?
Cal,"Uh, well, w..."
Cal,"Francis, would you be so kind as to let us in?"
Coulson,"Dr. Garner, good to see you again. I appreciate you coming back to help."
Andrew,Congrats on the promotion. Or should I offer my condolences?
Coulson,That depends on what's on the other end of this call. Agent Broyles. Never good to hear from you.
Coulson,Just been informed of a break-in at Brynmore psychiatric facility.
Morse,Heard of it. Houses criminally insane types. Federal facility.
Coulson,Except for the secret sub-basement under the North wing. We run that. Mentally unstable people on the index are housed there.
Morse,Is that who they're after?
Coulson,That's what we're going to find out.
Morse,I'll prep the Quinjet.
Coulson,"Agent Morse, Hunter didn't report in today. I offered him a permanent job. You think that has anything to do with his disappearance?"
Morse,“Permanent” isn't really Hunter's thing. Even the word.
Coulson,Didn't think he scared so easily. Well... Okay. I'll meet you down there.
Simmons,"I'm so glad you're here, especially since it's been well documented that powers can lead to psychological volatility. Not that Skye's showing any signs. Her vitals currently are steady."
Andrew,May I?
Simmons,"Oh, yeah."
Fitz,I did not know that you were married.
May,Now you do.
Fitz,He seems nice. Okay.
Simmons,"So, it might be wise to do a pharmacological evaluation. Dulling her emotions could lessen the destructiveness of her powers... a-a stopgap measure."
Andrew,Should probably meet her before writing a prescription.
May,I'll take you to her.
Andrew,"I appreciate the extensive and thorough debrief, Agent Simmons."
Simmons,My pleasure.
May,Let me talk to her first. Skye might have a... reaction.
Skye,"You're kidding, right? A shrink?"
May,It's not personal.
Skye,"Hell, it's not personal. It's a shrink."
May,It's standard procedure for anyo...
Skye,"No, I know, but I'm not just on the index. I'm also an agent."
May,"Exactly. So you know it's non-negotiable. Andrew is good, and he's done this before."
Skye,So have I. I grew up in the system. I've been through enough of these to know that I hate them.
May,You'll like this one.
Skye,"Yeah, how do you know that?"
May,Because I was married to him.
Skye,Tell me about the wedding. I'm thinking May could go either way... understated or full bridezilla. She can be a control freak.
Andrew,I'm not here to discuss my ex.
Skye,"Did you guys have actual conversations? You know, like, pillow talk, or was it just pillow stern looks?"
Andrew,How long are you going to deflect?
Skye,"Barely in, and out comes the psychobabble."
Andrew,"It's not psychobabble. It's just a word that describes what you're doing. Well, I read your history. I know this isn't your first rodeo."
Skye,Speaking of... the Cavalry. you must know what really...
Andrew,Stop.
Skye,The tone... something you both have in common.
Andrew,Hmm. Why did you shoot yourself?
Skye,"It wasn't like that. I mean, it was an ICER. I'm not suicidal."
Andrew,"No, I didn't say you were, but it's an aggressive move."
Skye,I did what I had to do to protect my team.
