character,line
Hannah,Hi. Is there a problem?
Taylor,Jack Benson was a friend of mine.
Hannah,I'm... I'm so sorry.
Taylor,"You were the one in charge, right? Some kind of manager?"
Hannah,"Uh, he... he was my friend, too."
Taylor,Jack's wife said it was your fault. That true?
Hannah,"You know what? Um, never mind. I think I'm just gonna go somewhere else."
Taylor,Hey! I asked you a question.
Hannah,Stay away from me.
Taylor,"Oh, man! What the hell? You did that?"
Hannah,"No, I—I swear."
Taylor,Get away from me!
Hannah,"No. Lord, please, not again."
May,We have a mission.
Ward,Any specifics?
Ward,"Well, we should follow the same plan as before... take separate routes back, stagger our timing so no one suspects..."
Skye,"Wait, a telekinetic? I thought they didn't exist."
Coulson,We never verified one. That's why we're going to Batesville... to conduct an index asset evaluation and intake.
Skye,Does that mean we talk to her and see if she has powers?
Coulson,Basically.
Skye,"Well, that needs a better name... less I.R.S., more... better. Something like the welcome wagon."
Coulson,"I want you to pay close attention on this one, Skye. It's an opportunity to learn how to deal with someone with newfound abilities."
Skye,It's not like I've never done this before. I found Mike Peterson before you did.
Coulson,Remember how that went? This is a chance to see how it's done when it's done right.
Skye,How many people like this have you encountered?
Coulson,A handful. There's not that many people on the index.
Skye,They must wig out when they see the S.H.I.E.L.D. trucks roll up.
Coulson,"Each case is different. Some people are in complete denial that there's anything unusual about them. It's a delicate process, and from all reports, this sounds like a particularly sensitive situation."
Skye,"“Particle accelerator explodes.” Hannah Hutchins, one of the quality-control engineers. Was it her fault?"
Coulson,The town blames her. Four technicians died in that blast... on her watch.
Skye,That's terrible... all those families.
Coulson,Small church community... they're pretty rattled.
Skye,"She must be, too. Friends, co-workers dead, and on top of all that, she might have some crazy power she can't understand."
Coulson,Or control. We hear Simmons before we see her.
Simmons,"Sir, the department of energy's declared the particle acceleration lab too dangerous to enter."
Fitz,"But the good news is, we still think we can retrieve the disaster-event data from the instruments."
Simmons,We'll determine the cause and see if there's any correlation between telekinesis spontaneously forming and a particle accelerator exploding.
Coulson,"Well, it does use giant magnets to fire billions of subatomic particles into their anti-particles at the speed of light to create miniature big bangs, so... seems like a good place to start. I read."
Skye,I'll try not to mention big bangs when we talk to Hutchins about the explosion.
Coulson,"You'll stay in the car. This is a delicate situation. We don't know what kind of danger this woman poses, so I'll make initial contact with Agents Ward and May."
May,Wheels up in five. Better strap in.
Skye,"It's a delicate situation, so you're bringing along warm and fuzzy?"
Ward,"Hey, guys."
May,You're late.
Coulson,"Officer, is there anything you can do to get these people to disperse?"
Officer,"Been trying, but it's a free country."
Coulson,"Miss Hutchins, I'm Agent Coulson. We specialize in strange occurrences like the ones you've encountered."
Hannah,You've come to lock me up?
Ward,To talk.
Hannah,"Well, what good will that do?"
Ward,"Officers, get those people back."
Skye,"Hey, calm down."
Ward,"Easy, officer. Put the gun down."
Hannah,Leave me alone.
Coulson,"Miss Hutchins, please calm down."
Hannah,It wasn't me.
Coulson,Please calm down. We're not gonna let anyone hurt you.
May,Time to go.
Coulson,So much for the welcome wagon.
Simmons,"We don't believe that people have telekinetic powers, do we?"
Fitz,Well. May was forced to sedate her. The woman made a police car move... with her mind.
Simmons,There's no principle that would support...
Fitz,"Telekinesis. Not yet. We did believe for a bit, though, remember? Freshman year? When Sally Webber made the books fall off the table in neurobiology?"
Simmons,"Oh, well, that was a particularly cruel prank."
Fitz,You screamed like a girl.
Simmons,I am a girl!
Fitz,"You know, that's the one drawback of graduating three years early... we never to pull any freshman pranks on anyone else."
Simmons,Mm. Fitz... Skye never went to the academy. She's a freshman.
Fitz,A wide-eyed little freshman.
Simmons,And being pranked is an integral part of becoming a S.H.I.E.L.D. agent.
Fitz,"Well, mandatory, really."
Simmons,Why not give her the full S.H.I.E.L.D. academy experience?
Fitz,It would be unjust to deny her such a thing. Information data uploaded. Let's get going.
Davis,"Yes, sir."
Ward,"Just a mattress, sir? It's a six-hour-long ride to the fridge."
Coulson,"Fitz added magnetic shielding to the cage after Simmons had her scare. If miss Hutchins has this power, then that room should keep it from getting out, but in there, she'll be just as dangerous."
May,How is she?
Coulson,"The dendrotoxin's wearing off. She'll be awake soon, scared, in a strange room. Our next interaction with her is crucial to gaining her trust, which is why I want you there."
May,Are you sure that's a good idea?
Coulson,"If miss Hutchins is gonna believe anything we say, she needs to know we're not hiding things from her, which means you explaining the situation."
Ward,What if that doesn't calm her down? What if that makes her more agitated?
May,Then he definitely wants me in there.
Coulson,Pretty much.
Ward,I'll observe from out here.
Coulson,"And I'll lose the tie. If she is telekinetic, I don't want to have a noose around my neck."
Coulson,Brought you some water. It's okay. I'm Phil. This is Melinda May.
Hannah,How did I get here?
May,I sedated you.
Coulson,I apologize for bringing you in that way. Things were escalating. It was for everyone's safety.
Hannah,"Everyone's safety. Good. Okay. Oh, lord, what have I done?"
Coulson,"I promise you, Miss Hutchins, nobody was hurt back there."
Hannah,"Wherever I go, things turn bad."
May,"Were you angry at those people, back at the house?"
Hannah,"Um, angry? No. I know most of them. They were angry. I understand. Oh, god. Frank's wife... the way she was looking at me."
Coulson,Frank Delacort. He died in the accident.
Hannah,"Because of me, they're gone. I killed them."
Skye,So sad.
Simmons,"And normal. These readings are entirely within average ranges. Of course, it's hard to find something when you don't know what you're looking for. All I can tell from these brain waves is she's upset."
Skye,You need a computer for that? May's in there... the woman who shot her.
Simmons,Sedated her.
Fitz,Things got out of hand. May sorted it out. She's the Cavalry.
Skye,"Where does that name come from, anyway?"
Simmons,Didn't Ward tell you?
Fitz,You don't know?
Simmons,Of course not. You spent no time at the academy. It's quite a story.
Skye,"Yeah, well, Ward isn't exactly a chatty S.O."
Fitz,"Well, imagine if you will... a heavily secured compound. Manama, Bahrain. Multiple S.H.I.E.L.D. agents are taken hostage, tortured for information. May's mission... eliminate the threat."
Skye,You mean kill people.
Simmons,"Not people... entire squads of mercenaries, almost 100."
Fitz,More than 100.
Simmons,"More than 100 men, heavily armed. Her vehicle got totaled, so she rode in."
Fitz,"And, um, she had a M249 in each hand."
Simmons,Right... in each hand. And she rode in on a horse.
Fitz,Hence the name.
Skye,Is this real?
Simmons,She eliminated the enemy threat single-handedly.
FItz,She saw a lot of hurt that day.
Skye,Is that why she's so...
Simmons,Happy?
Fitz,Particle accelerator data loading. No! You do not touch that! Two semesters minimum of holographic engineering before you get to touch this!
Skye,"All right, all right. I get it. I didn't go to your stupid S.H.I.E.L.D. Hogwarts or whatever. I'm gonna go upstairs. And I'm gonna do my own research on my computer... my boring, old, flat computer."
Simmons,Can you believe she bought that?
Fitz,A horse... brilliant.
Simmons,You think you have the next prank?
Fitz,We must carry on the tradition.
Simmons,Yeah.
Hannah,"For weeks, I was getting reports from section two complaining that the coupling assembly was coming loose at the bolts. Tobias is the... He was the technician down there. We replaced the part, and we triple-checked it for damage. Seems like I went down there every few days."
Coulson,Did you find a problem?
Hannah,"No. But clearly, I missed something."
Coulson,My team is working to determine what really did happen and what might have happen to you.
Hannah,To me? What do you mean?
Coulson,"We believe that somehow, as a result of the accident, you acquired some form of telekinetic ability."
Hannah,"You think it's me? The police car, the gas sta... you think I did that?"
Coulson,"We're not sure, and this can be a hard thing to hear, but all these events have one thing in common."
Hannah,"Me, but I'm not causing it. It's not me. I wish it were because then maybe I could make it stop."
May,"But if it's not you, then what is it?"
Hannah,You people won't believe me.
May,Try me.
Hannah,God's punishing me. He abandoned me. He doesn't protect me anymore. That's why this is happening.
Coulson,Protect you from what?
Hannah,"Demons, sir. I'm being haunted by demons."
Simmons,Delusions of being persecuted aren't uncommon after trauma.
Ward,She's certainly been through her fair share.
Skye,She's blaming herself. It's guilt.
Coulson,"It's all of it. She's broken. Pore over the accident site. If that tragedy gave her powers, we need to shut them down. If it wasn't her fault, even better, but until then, she's a danger to all of us."
Skye,"Just let me go in and talk to her, sir, as a friend."
Coulson,I can't let you do that. It's too dangerous.
Skye,"She's not dangerous. She's nice... like, overly nice. She never misses a birthday post to her friends, runs the youth program at her church, rescues dogs. Hannah's a safety inspector not just because she's detail-oriented but because she..."
Coulson,She genuinely cares.
Skye,"Right. And someone with that much empathy being responsible for that much loss of life, she's devastated, spouting nonsense about god punishing her for..."
May,People believe what they need to believe to justify their actions.
Skye,Is that how you justify your shoot-first policy? At least let me try to repair that damage.
May,"Until we figure out what's going on with her, she stays locked up and you stay away."
Coulson,"Thought that was glued down. You're asking the right questions, Skye, but for now, that's all you get to do. I'm sorry."
Skye,I just don't understand her at all. Everything to her is just... Target acquired. Threat eliminated.
Ward,"Well, she's a specialist."
Skye,In one thing. You can catch a lot more flies with honey than with napalm... just saying.
Ward,Hand me the lettuce.
Skye,"And she says I need to stay away, but you know what I think? I think she needs to get laid."
Ward,Might want to be less confrontational with Agent May.
Skye,"I'm not scared of her. Well, I am, but just because the Cavalry shot 100 guys on horseback doesn't mean she knows how people work."
Ward,"Wait, horseback? Where'd you hear that?"
Skye,Fitz-Simmons.
Ward,"Were they messing with you? Story gets bigger every year. It wasn't 100 guys... it was 20. Trained assassins. May crossed them off with one pistol, no support."
Skye,She rescued a bunch of agents?
Ward,Mm-hmm. There definitely wasn't a horse.
Skye,"Well, if it went so well, why's she so squirrelly about the name?"
Ward,"I don't know, May's not in it for the glory. She got the job done. End of story. What did I do with that knife?"
Hannah,"Leave me alone! Oh, god, please forgive me!"
Simmons,"Oh. This must be the coupling from the reports. Oh, dear. The technicians were right. Were you even listening?"
Fitz,You weren't even a wee bit scared?
Simmons,"More disappointed, really."
Fitz,"It's fine. It's fine. I'm just workshopping here, and, yes, I was listening. I was about to go fetch our own magnetic couplings to run simulations."
Simmons,"Oh, well, while you're in there, grab some more diazepam for Hannah. She may need to be more heavily sedated. And the prank needs more work, as well."
Fitz,"I know. I'm trying different things. It's the timing that matters, Simmons. Skye can't suspect a thing."
Skye,"Ward, come look at this."
Ward,"Tobias Ford. Oh, isn't he one of the technicians who died at the plant?"
Skye,"Yeah, and he filed three safety complaints in the past month, each one in Hannah's department."
Ward,She thought he was a friend. But he had it out for her.
Skye,Sad part is... he was right.
Fitz,"Oh. Couplings. Couplings, couplings. Yes. Actually... Oh. Now, this I could use. All I need now is a little bit of twine and an unsuspecting victim. Oh, that's fantastic, that is."
Simmons,"Well, that's odd. My god. Fitz, look at this. What are we seeing here? It's as if the explosion tore open some sort of window to..."
Tobias,To hell.
Simmons,Aah!
Coulson,Simmons! Are you okay?
Simmons,"Sir, Hannah's telling the truth. She's not telekinetic. There's someone else on this plane."
Simmons,What was that?
Coulson,Plane's lost power. We're going down.
May,"Ward, you certified?"
Ward,What about engine-driven generators?
May,"Those are dead, too. Switch batteries to maintain flight controls. The rest will be needed to keep the cage shielded. Flaps... 10.  Lower landing gear."
Skye,What can I do?
May,"Buckle up. There's a decent-sized field up ahead, but it's gonna be rough. Vertical landing's out."
Ward,Coming in a little hot.
May,I got it.
Coulson,"Our ear comms are usually relayed through the plane, so here's some hardware."
Ward,"Did the girl do this to us, sir?"
Coulson,We believe miss Hutchins is the victim here. Our theories about her powers have been disproved.
Ward,By who?
Simmons,"I saw a ghost. I... I know how it sounds, but a man attacked me, and then he disappeared."
May,Did you get a good look at him?
Simmons,He dematerialized!
Coulson,"May, run your systems checks. Is the cage still shielded?"
May,Most of the power dedicated to it.
Coulson,This man or whatever he is has been tormenting miss Hutchins. The Cage might be the one thing protecting her now. We'll inform her.
Skye,"Sir, can it be me to talk to Hannah? Her life has been turned upside down, and we stuck her in a nightmare box. She thinks she's being punished. Can I please be the one to deliver the good news?"
Ward,That a non-corporeal madman is hunting her?
Skye,"Again, I think it'd be better coming from anyone else, really."
