character,line
Coulson,"Maybe I should learn to fly. It's not too late, right? I could learn. What do you like best? The freedom? The view?"
May,The solitude.
Coulson,Got it. See you in Sweden.
Ward,"I only get one shot. And it has to knock a person back, as well as out."
Fitz,"Which is why we're perfecting this little beauty. .45-caliber cartridges, semi-automatic. Each mag... contains eight therapeutic rounds of dendrotoxin."
Simmons,In case you miss! Or have multiple assailants.
Fitz,"Yeah, w-we're gonna have this new night-night pistol working in no time. Okay?"
Ward,Great. One thing... we're not calling it that.
Simmons,"Ah, told you."
Fitz,"Yes, we... yes, we are."
Coulson,Have you seen Skye?
Ward,Not since weapons training.
Coulson,Has she stopped saying “bang” when she pulls the trigger?
Ward,"Mostly. Now, if she can just learn the difference between the safety release and the magazine release, we'll be making real progress."
Skye,"What's up, Phil?"
Coulson,I'd prefer you not call me “Phil.”
Skye,"Okay, you're the boss... A.C. Just missing my van a bit, taking a little me time."
Coulson,I want your help with something.
Skye,Hit me with it.
Coulson,You ever rob a bank?
Coulson,An armored car?
Skye,Nope.
Coulson,How about a casino?
Skye,Should I be offended?
Coulson,Somebody's stealing millions of dollars in diamonds. They've found a way to crack the security systems. I want you to figure out their exploit.
Skye,Hmmm.
Coulson,"Yesterday, 55 men, all military, were hired by one of the largest gem brokers in the world. They dressed the men in identical outfits, gave each one a randomly assigned briefcase, and sent them along 25 different routes here in Stockholm. No one knew which briefcase contained the diamonds, but they were still stolen."
May,Why the Kabuki theater?
Coulson,"They were afraid because somebody's targeting diamonds... an armored car in Milan, a safe in Monte Carlo, and now this... over $30 mil total. Each theft occurred despite heavy security."
May,They sound like inside jobs.
Coulson,A lot of people share that opinion.
Skye,You don't. CCTV cameras catch any of the action?
Coulson,Fitz-Simmons is checking. The system went dark for an hour. They think it was hacked.
May,It was the same thieves each time?
Coulson,"Yes, but it was just one thief... a woman. And she did it all with her eyes closed."
May,Eyewitnesses I.D. her?
Coulson,"Black, athletic build, late 20s, early 30s."
Skye,"So, you asked how she could have cracked the system. I have a pitch, but it's way outside the box."
Coulson,I live outside the box.
Skye,"There are people in the world with superpowers, right? What if this woman has ESP or something?"
May,"There are no credible studies that support precognition, telepathy, or extrasensory perception."
Skye,"Okay, so science says “no.” But this woman knew impossible things. And why did she close her eyes? That's either random or totally important. Was she listening... or was she reading minds? I'm gonna go... play with my phone now."
May,Why does H.Q. want us to investigate these heists?
Coulson,They don't. I picked this op. Any luck?
Skye,"Yep, I'm getting full bars, which means if I was down here and 55 guys were in scary red masks, you know what I would do? Instagram."
Coulson,"It's amazing. Every year, this part of our job gets easier. Between Facebook, Instagram, and Flickr, people are surveilling themselves."
Skye,"With many filters to choose from. I could do this pretty well when I was hacking for the Rising Tide, but you guys tag and search in ways the rest of us never dreamed of."
May,"I can run facial-recognition software on the photos, cross-reference them with our criminal databases."
Coulson,You don't have to. That's the thief. Her name's Akela Amador.
May,You're certain?
Coulson,I should be. I trained her.
Coulson,"Akela Amador was a S.H.I.E.L.D. Agent. Seven years ago, she led a raid on one of Vanchat's gulags. Everyone believed that she and the two other agents on the mission were killed. I had my doubts. So I sent in a second team, just in case. They found a lot of carnage but couldn't confirm that any of it was Amador... left the possibility open."
May,That's why you chose this op... when you heard about the heists.
Coulson,"There are only a few women in the world who could pull off something so impossible. Since you're on the bus, I thought it had to be her."
Ward,"Swedish customs confirmed that Amador left the country using an alias on a Swedish passport. She flew into Belarus, bought a train ticket to a town called Zloda. I've also put together a list of individuals who could fence that many diamonds. There's been no contact or activity."
Coulson,"Maybe she's saving them for a rainy day, buying something special. Let's focus on finding Amador."
May,I'll let H.Q. know she's alive so they can assist with the manhunt.
Coulson,"I'd like to hold off on that. Until we know more. Contact Belarus authorities. Find us a place to park the bus. Put together a list of inns, hotels, and pensions near Zloda. There can't be that many of them. We'll find her."
Skye,"I'm not so special after all. I'm not your first protégée. Relax. I'm teasing. I know I'm not a protégée. Hell, I'm not even a real, live S.H.I.E.L.D. agent yet."
Coulson,"You two couldn't be more different. Amador was smart, talented, fearless."
Skye,"Wow, there's nothing in common."
Coulson,"Let me finish. She didn't play well with others, found little value in teamwork. I thought I could instill those qualities in her, so I pushed her... maybe too hard."
Skye,"Don't blame yourself because this chick went to the dark side. Whatever path she went down, whatever weird stuff she got into, it's on her."
Amador,The agreement was to come alone.
Man,I did!
Amador,What about the man in the next room? Or the one by the stairs?
Man,They're here to protect me... for when I leave... with the merchandise! Please.
Man,I'm sorry. I've never done this before. May I see them?
Man,"The rest, they are..."
Amador,In the bag. You can carry it through customs. No one will know. Now... it's your turn.
Man,"When I said 30 million dollars, I never thought anybody would..."
Amador,"If it fails, I will find you."
Man,"It will access all the levels, as promised. But once you're inside, do you have a plan?"
Amador,It'll come to me.
Simmons,How exciting. I've dreamed of visiting Zloda since I was a schoolgirl.
Fitz,"Zloda, Belarus? A dream come true? Really?"
Simmons,"It's the birthplace of Nobel physicist Zhores Alferov! I mean, technically, he's from Vitebsk, but that's less than an hour from here, and I'm a bit disappointed that you didn't know that."
Fitz,"Well, no, of course I know who that is, father of heterostructure transistors, thank you very much. We're all well aware of that. I'm just a little bit preoccupied. Our first and only other time in the field wasn't exactly a picnic, was it?"
Coulson,You guys are only here to search for Amador electronically. You won't even need to leave the van.
May,Bus to short bus.
Ward,Go for short bus.
Coulson,"Next time, I'll decide what we call ourselves, okay?"
May,H.Q. has requested a status update.
Coulson,What'd you tell them?
May,That we're tracking a potential suspect... nothing more.
Coulson,I owe you one.
May,More like three.
Coulson,"If Amador's here, she'll have to contact her buyer. Scan for cellphone transmissions, encrypted e-mails, anomalous broadcast signatures. Call us if you find anything that indicates her presence."
Ward,Maintain radio silence unless you really need help.
Fitz,"Well, what exactly defines needing help?!"
Ward,"I can only imagine how painful this must be for you, sir, betrayed by someone you trained and believed in."
Coulson,We don't have all the facts yet.
Ward,"True, but I have to assume the worst, that Amador sold out the other two agents on her mission. Wonder what she got in exchange."
Coulson,"I don't know, but until we do, I'm not gonna assume anything."
Simmons,There's barely electricity in this town. Can't be too hard to find our mystery woman.
Skye,Unless she already knows we're here.
Simmons,"No, you're not suggesting some sort of precognition or telepathy because..."
Skye,"I know, it doesn't exist. And not long ago, I would have dumped ESP in the “aliens and portals are for crazy people” pile. But now... Found a server."
Coulson,Thanks.
Ward,Did you locate Amador?
Skye,"What? No, not yet. But we've found a broadcast with some weird signal encrypted into it."
Ward,You think Amador might be communicating on that signal?
Skye,"Maybe, but I called with an equally pressing question for you, my S.O. what are we supposed to do if we have to pee?"
Ward,You broke protocol because you need a bathroom break?
Skye,"It was a really, really long drive, and everyone's nervous."
Ward,There's a container in the bottom of the blue chest.
Skye,Bottom of the blue chest.
Skye,Not the water bottle?
Ward,That's the one.
Skye,"Did you never learn the thing that boy parts and girl parts are different, and our parts aren't penises?"
