character,line
Daisy,I think Joey's a real candidate.
Mack,Sure. He's Inhuman. But doesn't meet my criteria.
Daisy,"He's a decent guy, and you know it. Getting that unit up and running is priority."
Mack,"Yeah, but it doesn't mean it has to be a rush job. Look, Dr. Garner will make his recommendation."
Daisy,"And it will be the same as always, three months observation and counseling before reassessment. He's as much of a buzzkill as you are. And if you haven't been keeping score, our team's down to three musketeers. May and Simmons are gone. Fitz might as well be, Bobbi's on the DL. And from what I hear, Hunter's planning to leave."
Mack,"Yeah, but not for good. He's got a score to settle."
Hunter,It's Fitz!
Morse,Fitz broke into containment!
Mack,Fitz!
Hunter,"Fitz, get out of there!"
Mack,Are you crazy?
Morse,Close it! Close it! I got it!
Coulson,"Damn it, Fitz."
Fitz,I had to know... had to... had to know.
Coulson,"I already lost Simmons to that thing. I cannot afford to lose you, too."
Hunter,Are you trying to get yourself killed?
Fitz,Sorry. I won't give up. I can't give up.
Daisy,"None of us want to, Fitz, but..."
Morse,"Fitz, you tried. Okay? You tried your hardest. Everybody knows that."
Fitz,No. I missed something. I m... I missed something.
Morse,What is that?
Fitz,Proof.
Fitz,Sand. Not just sand... impossible sand.
Mack,The Monolith's case is a clean room. There's nothing in there but that rock. Not even dust.
Hunter,Unless you blast it open with a shotgun and contaminate everything.
Morse,That's not what this is.
Hunter,"Okay, the sand itself... not unusual. Mostly silicone-dioxide particles just like on Earth."
Coulson,But you're saying this sand is not from Earth?
Morse,"Sir, carbon dating shows that..."
Fitz,It predates the Earth by a billion years.
Daisy,So you think the rock is a portal?
Fitz,"No. No, I'm proving that it's a portal, okay, to another planet, a-a very old planet. A crack in space-time that carried Simmons away and carried the sand back. Which means..."
Coulson,She's out there. But it's been months.
Fitz,Yeah?
Coulson,She could be long gone from wherever this thing dropped her.
Fitz,Yeah.
Coulson,She could be dead.
Fitz,Yes.
Coulson,"But we're gonna find out, aren't we?"
Morse,Yeah.
Mack,Damn right.
Daisy,Yeah.
Coulson,"Okay, Fitz, what do you need?"
Fitz,"Uh, uh, well, uh, more historical data. People have studied this thing for centuries. I need an expert on quantum mechanics and Einstein-Rosen bridge theory, and a... a sandwich would be nice."
Coulson,"I might have an idea, about the other things. You two, stay with our new Inhuman guest. Be here for Dr. Garner's assessment. Building that team is still the priority."
Daisy,What did I say?
Coulson,Bobbi.
Morse,I'm on this with Fitz.
Coulson,"Yeah, haven't you been on this with Fitz the whole time? Hiding his trip to Morocco, covering for him on a constant basis?"
Morse,Have I?
Coulson,And you know where you're going.
Morse,Coulson would be pissed if he knew what you had planned.
Hunter,"Part of our agreement. He won't sweat the details, and I won't share them."
Morse,"You really think Ward's back with HYDRA? Damn, I wanna go after him with you."
Hunter,"You're still on the mend. Plus, you've been undercover with HYDRA, and that face makes an impression. The rest of you makes a bloody statement."
Morse,You like me stuck here in the lab.
Hunter,"Too bloody right. You're missing half a lung because you took a bullet Ward intended for me. Nearly bled out in my arms. If you being in the lab means I never have to see something like that again, I'm all for it."
Coulson,"Bobbi, you want to fly?"
Morse,Desperately.
Coulson,Good. Here's our destination.
Morse,Who's Professor Randolph?
Coulson,"This Monolith has been studied for centuries. Well, Randolph's actually been on the planet for those centuries, and he's traveled through space in a portal and he's also an alien. So he's got a lot going for him."
Morse,Don't die out there.
Coulson,"And, Hunter, make sure he does."
Ward,"Hell of a machine, Kebo. Built for precision, speed. Designed to handle flawlessly under any conditions. But Carmine here bought it as a status symbol to show off. Never opened it up, denied it of its true purpose. Old HYDRA's full of guys like him. Soft, entitled, mistaking wealth for success, privilege for power. Their greed splintered HYDRA into a thousand pieces. Their time is over. Time for a leaner generation. These people have proven themselves in blood. See how they didn't even flinch? Now's your chance to prove you still have purpose. Show me you're not dead weight. So, tell me, where's the kid?"
Randolph,I'm sorry. I can't help you.
Coulson,Can't or won't?
Randolph,"Potato, puh-tah-toe."
Coulson,And your reason?
Randolph,"The nightly news, cities flying into the atmosphere, government task forces, and now the public is freaking out about alien outbreaks. Pretty crappy time to be on Earth if you're not a local, so I am layaying low. And of course there is my current situation."
Morse,": Destruction of property, public drunkenness."
Randolph,"Yes, well, Asgardians can generally hold their drink. It's just, well, one night I tried to hold all the drinks."
Morse,"Asgardians are also strong, right? You could easily break out."
Randolph,"What? And miss dinner? Oh, no. Yes, Norse prisons are surprisingly evolved. Decent food, comfy bed, extensive library, and no attention being drawn to me. Come back in a few months, why don't you? Maybe then I'll be in the mood."
Fitz,We don't have a few months.
Coulson,"And neither do you. I don't have to remind you that I saved your life, though I did just mention it in case you forgot. But I'd still have no problems contacting those task forces you mentioned. I bet they'd go bonkers to have a real-life Asgardian to dissect in their labs. I don't know how comfy you'd be there."
Randolph,"Why, Agent Coulson, are you threatening me?"
Coulson,"I wouldn't call it a... well, yeah, I guess I am. That's absolutely a threat."
Randolph,You're different now. You know that?
Coulson,One must accommodate the times or things get messy.
Randolph,What's with the hand?
Coulson,Things got messy.
Randolph,"Well, you'll have to cover my release. And if there is a portal, which I will have to see to believe, you are diving into very dangerous waters here. All right. Well, it's not like you're giving me any choice."
Randolph,He did it.
Mack,"Good to see you, Dr. Garner."
Daisy,"Hmm, enjoying the use of the private jet?"
Andrew,"It's very helpful. Thanks. Those jump seats aren't made for transcontinental trips, I'll tell you that."
Daisy,Are you hungry? I can have something whipped up for you.
Andrew,That would be great. Thanks.
Daisy,Anything to drink?
Andrew,"Daisy, trying to butter me up?"
Daisy,"What, are you not hungry?"
Andrew,"Hey, look, my job is to keep everyone safe. Not just potential recruits, but you, as well. Bribery's not gonna get this guy approved for the team any faster."
Daisy,"Wouldn't know, because you haven't approved anyone yet."
Mack,"Well, here's, uh, Joey Gutierrez."
Andrew,"Yeah, I was reading his file on the flight, liquefies metal. How's he holding up?"
Mack,"Well, he's terrified."
Andrew,That's a healthy response. What about you two? How are you guys doing?
Daisy,"No, no. Unh-unh-unh. You are not getting me on the couch today, doc, unless it's a conversation between friends."
Andrew,That's all I meant.
Daisy,Great. How's May? Where is she? Is she ever coming back?
Andrew,You should ask her yourself.
Daisy,Well... I would if I knew where she was.
Charlie,"No, no, no. You don't watch where the ball goes."
May,Then how would I find it?
Charlie,"You're usually very good at things like this, a natural."
May,"Yeah, well, there's nothing natural about this game, but your comments after every swing make it super fun."
Charlie,You'll get hooked. You'll see.
May,"All right, fair's fair. 10 shots for me, 5 reps for you. That's why we're here. Work that hip."
Charlie,"You don't have to worry about my rehab, and that's not why you're here. I may not be a spy, but 20 years with your mother has taught me to pick up on things. You're not here because you care about me."
May,"Oh, now I don't care about you."
Charlie,"I didn't say that. I said that's not why you're here. Come on, Mellie. You... You take a trip to Honolulu with Andrew."
May,It was Maui.
Charlie,"And you come back the daughter of the year. Something is not right. All right, I'll figure it out for myself."
Randolph,"Well, I hate to disappoint, but it looks like your regular, old... Oh. How often does it do that?"
Fitz,It's random.
Randolph,"No. No, no, no, no. It may seem random. But this... something is clearly triggering it."
Fitz,"I've checked it against tides, relation to the sun, rotation..."
