character,line
Cal,"This won't hold me for long, Phil."
Coulson,"It'll hold you long enough. The hangar's been emptied, locked down. [sighs] It's just us, Cal, to have a little chat."
Cal,"When I get free, I will rip your voice box out of your throat!"
Coulson,"And try to come to our senses. Either we walk out of here together, or not at all. You got it? We both want the same thing."
Cal,What I want is to snap your spine like celery.
Coulson,"See, I don't think you really do."
Cal,"Well, let's test your hypothesis."
Coulson,"Oh, I think you're willing to, but want is a different thing. What we both want is to protect your daughter. You're a family man."
Cal,Who is sick of you sticking your nose in our business.
Coulson,"It was your devotion to them that made you willing to do those terrible things all those years ago, wasn't it?"
Cal,Shut up.
Coulson,"Nightmarish acts of violence that you didn't want to commit, did you? Your wife made you do it."
Cal,"You don't know her! You don't know anything! Say one more word, and I'll..."
Coulson,"I'm not saying your wife is a monster, Cal. I think you already know she's a monster. What I'm saying is you're not. I know you've thought so for a long time. But deep down, you're a good man. I believe that. I do. You got a big heart full of love."
Cal,Stop.
Coulson,You wear it on your sleeve. Skye got that from you.
Coulson,That's right.
Cal,"No, stop! Stop!"
Coulson,"You were just trying to save her, trying to please your wife."
Cal,"No, I was trying to put my family back together! I... I reassembled her, piece by piece, sewed her back up, but she was never the same."
Coulson,She was out for blood.
Cal,"Before Whitehall, an elder would sacrifice themselves every few decades so she could live on, carry on tradition. She would weep, scream, beg them not to. She had a good heart, Phil. She did. It was just torn out. And she needs to take lives to heal."
Coulson,So you supplied them.
Cal,"Yes, a village of them. But it was never enough. She didn't care about human life anymore. Even I had to change myself to be worthy in her eyes. I thought I could fix her if I could just make good on my promise. I promised to protect our daughter."
Coulson,"Does that include protecting your daughter from her? You know Skye now, her compassion. Jiaying's out for blood, and there's no way in hell Skye will go along with that. Think about the danger that puts her in. She's not my daughter, but she's as close to family as I've got, and I will save her, no matter what the cost."
Cal,"Please, let me help you."
Skye,You want to lend me a hand getting these things off? Or a face? Mack? Thank god. Who's with you?
Mack,"Just you and me, tremors. Your people just took over the ship. About 100 or so prisoners. The rest are dead. Guess they're not as harmless as you say."
Skye,"I swear, I never meant for any of this to happen. I..."
Mack,"Well, we need to stop them. But if you're in here, I'm guessing you figured that out already."
Skye,It's my mother. She's manipulating them. Not all of these people are bad.
Mack,"They're using their powers to kill S.H.I.E.L.D. agents, so I don't give a damn about intentions right now. I came here because I need your skills."
Skye,I can't use my powers. They locked these inhibitors on me.
Mack,Not the skills I'm looking for. Heard you have a history of hacking into S.H.I.E.L.D.
Man,"That's the fan room, down on the fourth deck. All the ship's air circulates through it."
Jiaying,Take a case of crystals down there. Load the rest on the Quinjet.
Lincoln,"We have a problem. I disabled the communication systems, but an emergency beacon was sent out to Coulson's base. It's hard-wired, and there's no way to cancel it without the proper code."
Jiaying,Do one of you have the code?
Weaver,"I suggest you surrender peacefully. When Coulson gets the message, he'll come at you with everything he has."
Jiaying,Coulson's being dealt with. I don't need you to cancel the beacon. I want you to expand it. This ship and Coulson's base aren't the full extent of S.H.I.E.L.D.'s operations. Expand the beacon. Invite them all.
Lincoln,You want them to know we're here?
Jiaying,We have to show them what we're capable of. It's the only way they'll ever leave us alone.
Oliver,"We don't know what you're planning, but we'll play no part in it. Hands off, you freak!"
Weaver,What are you doing? Let him go!
Jiaying,Do you like rare gems?
Weaver,You don't think you can bribe me.
Jiaying,It's not a bribe. It's an incentive.
Jiaying,"Expand the beacon, or there will be more."
Mack,"If we don't cut that beacon, it'll bring every available agent racing here."
Skye,And she plans to do that to all of them.
Mack,"The problem is, it's hard-wired, clear on the other side of the ship, with a dozen ginger ninjas and god knows who else standing in the way."
Skye,But we're still gonna try.
Mack,Hell yeah.
Simmons,"Well, his physical changes have improved."
Cal,"Careful. I'm a married man. Sorry, Phil. This looks expensive."
Coulson,We have a tab running.
Fitz,"Sir, the carrier's distress call, it's expanded to all channels."
Coulson,Jiaying used Cal's distraction to take over that ship in minutes.
Fitz,Yeah. It's intimidating.
Coulson,You get May and Hunter on the line? We'll need every asset we've got to shut these Inhumans down.
Fitz,"I tried, sir. Uh, their team's already gone dark."
Ward,"There he is, poor sap, not a clue what he's walking into."
Kara,I didn't think May would be with him. She could screw the whole thing up for us.
Ward,"Well, we'll make sure Hunter and Bobbi get their reunion by taking the rest out one by one. Don't worry about May. I'll take care of her. I owe her that."
Hunter,"Take that all the way. Check every room. Bob? Bobbi? Bob? I'm coming to find you, Bob."
Hunter,Bobbi.
Agent,Agent May?
Kara,Not really.
May,"Agent Walker took the South corner, right? He still radio silent? All agents converge on the South corner. I'll meet you there. Do not lower your guard until you see my face."
Agent,Hunter's the only agent left.
May,She doesn't know that.
Hunter,"Bobbi. I'm coming for you, Bob."
Hunter,"Bob! Come on! Stay with me, Bob! Come on. Come on. Come on. Come on, Bob. Bob, Bob. Stay with me. Stay with me. Bobbi. Bobbi. Stay with me. Please, please. I've got you. I've got you."
Kara,Baby.
Ward,"No. Kara? No, no. Kara, no. Kara, look at me. Look at me! No, no, no, no! No, Kara! Look at me, baby. Come on. It's... It's..."
Hunter,"Oh, god. Oh, god. Please. Please, Bobbi. Come on. Help. We need to get her out of here! I'm losing her!"
May,"Easy, easy."
Gordon,"Beautiful, isn't it?"
Lincoln,"I don't know about beautiful, but I'm guessing it's dangerous."
Gordon,"In the wrong hands, lethal to our people. It's better we have control over it."
Lincoln,And what about us? How dangerous are we?
Gordon,Very. We've always been. Now they know it.
Lincoln,What Jiaying did in there was... that was murder.
Gordon,That was necessary. She'll do whatever's needed to protect our people. You know that better than most. Are you forgetting your life before we found you?
Lincoln,Of course I haven't forgotten.
Gordon,"Then you remember how far she went to save you and know how far she will go to save all of us. We're not doing anything that S.H.I.E.L.D. itself wouldn't do. They have turned Jiaying's own daughter against us. We have her locked up now, but given how lethal Skye is, it could get worse. You'd be wise to remember that."
Skye,"She just killed them, all of them, didn't even think about it."
Mack,"Yeah, I thought my mom was bad when she started watching Fox News."
Skye,And I fell for the whole act.
Mack,"Look, you had to choose between two... This way. This way. You had to choose between two sides that both mean something. I get it. You make the best choice you can. Sometimes, it works out. Sometimes..."
Skye,It didn't.
Mack,It did not. Beacon's in the sat room down to the left. Go get started. Try to hack the code and turn it off.
Skye,Wait. Where are you going?
Mack,To find a power saw in case you can't.
Fitz,"Sir, good news. I've modified my field generators to act in unison as a quantum-field disrupter."
Coulson,"Great, you're saying you found a way to shut down Gordon's teleportation ability?"
Fitz,"Well, now my news sounds less good."
Coulson,Oh. Sorry.
Fitz,The disrupter should keep him contained to a single space.
Coulson,I'll take anything. We have Quinjets flying in from all over the world right now to answer the S.O.S. with us. It will be nice to have something more to offer them than an encouraging thumbs-up.
Fitz,What about Bobbi?
Coulson,Landing any moment.
Simmons,Cal destroyed the lab. It's unusable right now. This is our best option. We'll make it work.
Coulson,Any update from May on Bobbi's condition?
Simmons,"They've slowed the bleeding. She's holding on, but barely. Okay. We'll see."
Coulson,And is Cal stable enough to join the mission on the carrier?
Simmons,Why would you want Cal on the mission?
Fitz,That doesn't sound like a very good idea.
May,Gunshot wound to the upper back. Exit wound in the chest. Pulse is 140 and weak. B.P.'s 60 over 30.
Hunter,She stopped breathing just before we landed.
May,"I bagged her, got her going again. Hurry."
Simmons,"1, 2, 3. Let's get her prepped for surgery. CBC with diff, chem-20. Portable chest x-rays. Cross and type for two units."
Woman,"Yes, doctor."
Lincoln,How did you get out?
Skye,Lincoln. I-I can explain.
Lincoln,Don't bother.
Skye,"You've got this wrong. Very wrong. Listen, please."
Lincoln,I just found you trying to reach out to your S.H.I.E.L.D. friends. You planning the next assault?
Skye,"That attack didn't happen, Lincoln. Jiaying staged the whole thing. She murdered Gonzales, then shot herself to frame S.H.I.E.L.D. so we'd follow her to war."
Lincoln,Do you even hear how crazy that sounds? Shot herself?
Skye,"She's already healed, hasn't she? I'd tell you to ask Raina, she can see the future, but she's not here, is she? She's not here because she had a vision of what happened, what's going to happen. And Jiaying couldn't risk her talking, so she cut her throat."
Lincoln,"Why are you doing this, trying to turn us against her?"
Skye,"You saw what she did with those crystals, killed unarmed agents. Okay, think. Why would she want the rest of S.H.I.E.L.D. to come here? It's... It's not to hug it out. She wants to execute them. We can stop this. Please, just tell me where she took the crystals."
Lincoln,The fan room... where the ship's air circu...
Mack,Found a saw.
Skye,I was getting through to him.
