character,line
Mace,I don't know. You think this sells it?
Coulson,Honestly? Feels a little fake.
Mace,You're right. It looks staged. Needs a little something.
Coulson,I was thinking busted headlight.
Mace,"You know, I admire you for volunteering for this, Coulson. We need all the fresh faces we can get for undercover work."
Coulson,"Uh, yeah, I could do an accent or another language, maybe. My Spanish is mucho bueno."
Mace,Just act natural. Just get them to stop the bus and open up.
Coulson,"Hopefully, Skye's on board."
Mace,"Well, she might be if she's been assigned to reeducation at one of Hydra's prison camps. But rescuing Skye is not the mission. There's another prisoner I want to find."
Coulson,Does Ward know that?
Mace,Yeah. He didn't take it well. His head hasn't been in the game since the Doctor shot that woman.
Coulson,"To be fair, that was rough to watch for all of us."
Mace,"That, uh, Jemma Simmons. How well do you know her?"
Coulson,Well enough to know she's on our side.
Mace,"You know, she claims that the Doctor isn't evil, that he's been brainwashed. Do you buy that?"
Coulson,I've heard crazier things.
Mace,"Hmm. Well, crazy or not, I want to know what else she's hiding."
Burrows,Squid-mobile coming your way.
Mace,Here we go.
Coulson,Hey! Hey! There's someone trapped in the car! I need help!
Man,"Hands on your head. Down on knee, or you'll be shot."
Coulson,"Look, I'm sorry. I didn't see the car, I swear. I think she was drunk or something. She swerved right into me."
Coulson,Little heads-up would be nice. Skye?
Mace,I hope not.
Doctor,"Thank you, gentlemen."
Skye,"Why are you doing this, Fitz?"
Doctor,"It's Dr. Fitz. And unlike the men who just left, I know the truth about you, and your world."
Skye,You mean our world?
Doctor,"Ah, don't try that ploy with me. I know you replaced the real Skye."
Skye,Replaced? Is that what she told you?
Doctor,"Somehow you conquered Hydra in your world, and now you want to conquer ours."
Skye,All I want is to get out of here.
Doctor,Tell me where the Patriot is.
Skye,I don't know.
Doctor,"Did he come from your world, too?"
Skye,"We all did, you included."
Doctor,"And the other subversive, Jemma Simmons?"
Skye,She's not a subversive.
Doctor,Where is she?
Skye,"If I knew, I would tell you because if anyone could get you to wake up and realize that this nightmare isn't real, it's her. She loves you and you love her and she's a real person, not a Hydra murder-bot who's got your brain..."
Doctor,"The carrot or the stick? When neither motivates the truth, we face unspeakable choices."
Skye,"What happened to you, Fitz?"
Doctor,"This is my home. I'm not gonna let you destroy it. We'll get to yours first. And when we do, the Patriot and all of his kind will pay for ever setting foot here."
May,I should've had better judgment that day.
Ophelia,Best not to dwell on the past. What's important is our future.
May,No. It's the present we need to worry about. The Inhuman threat keeps growing. The Patriot hijacked a prison transport. It's time we take him out.
Ophelia,"I admire your resolve, Agent May. The truth is, we may have a weapon that can beat him, but there are risks involved."
May,It's only a risk if you have something to lose.
Ophelia,Are you volunteering for the task?
May,Hail Hydra.
Mack,Where did they come from?
Mace,We intercepted a bus on the way to a Hydra Enlightenment Center.
Mack,"Your girlfriend, Skye?"
Ward,"No, thankfully."
Mace,Where's your daughter? How is she doing?
Mack,"I don't know. She's still rattled. She hides it, but they came into our home, you know?"
Ward,"Well, she's definitely safer here than there. You both are."
Mack,"Look, this This is all new to me, but I want to help. I owe you that."
Mace,"You can start with the bus outside. We need to switch the plates, the digital tags, and wipe the GPS."
Mack,You're gonna put it to use?
Ward,One of our operatives got caught trying to smuggle out intel on a new Hydra weapon. They've got him locked up at the Center.
Mace,The bus is our way in.
Mack,‘Nuff said. I'm on it.
Mace,"You get anything more out of that woman, Miss Simmons?"
Ward,No. She's stonewalling me.
Mace,Not for long.
Coulson,Here. Let me get you a couple blankets.
Simmons,Did you find Daisy?
Coulson,"No, just a bus full of dead bodies."
Simmons,"Binary ones and zeroes can't die, nor do they feel the cold."
Coulson,Maybe we keep that part between us.
Simmons,We're wasting time. We should be focused on getting Daisy back and escaping this horrible place.
Coulson,"Well, we can't do that without Mace's help, and he's already suspicious of you."
Simmons,I'm going to tell him the truth.
Coulson,Not a good idea right now. Trust me.
Simmons,Mace is risking his life going on these pointless missions. So are you. They don't matter in the real world.
Coulson,"If you put it like that, “the real world,” he'll never buy it. The Doctor, the creepy robots, the blue soap, none of it."
Simmons,He deserves to know.
Coulson,He doesn't have fragments of memories to draw on. Neither does Ward. They're not like me.
Simmons,"No, no one is, unfortunately, especially not Ward."
Coulson,"Okay, I got to ask What is it about that guy? Every time I see him, I get this weird itch, like hives. Did we get along?"
Simmons,"Well, you crushed his chest with your cybernetic arm and left him for dead on an alien planet, so no."
Coulson,Wh...
Simmons,"He's behind me, isn't he?"
Mace,"Miss Simmons, we'd like a word."
Simmons,It's “Doctor.”
May,"I was told “R” and “D” has a new weapon, something that could take down the Patriot."
Turgeon,"Ah, yes. Oh, no, it's not exactly a weapon, but it can make you into one."
May,Steroids?
Turgeon,"Oh, no, not just any steroids. Augmented strength serum The effects of which are very potent, although temporary."
May,"It's not Terrigen-based, is it?"
Turgeon,"Oh, no. No, no, no. This is made from various metabolic enhancers, gorilla testosterone, even a dash of peppermint. The point is, one dose, you will have the Patriot begging for his life."
Mace,“A team that trusts is a team that triumphs?” That's... That's a little cheesy.
Simmons,"You had t-shirts made, coffee mugs. Ugh. I realize how it sounds. No one wants to hear they're just an avatar in a digital prison, but sometimes that happens, and here we are. All that matters is getting out, and Daisy and Dr. Radcliffe are our keys to that."
Ward,"Well, uh, think I need a drink."
Simmons,Ugh.
Mace,"In the, uh, in the real world, how well do we know each other? Are we friends?"
Simmons,More like coworkers. But I do think of you in a friendly way.
Mace,Where am I from?
Simmons,Excuse me?
Mace,"In your world, where am I from?"
Simmons,"Uh, I'm not sure. The midwest?"
Mace,"Well, am I married? Do I have kids? Any siblings? Hobbies? Do I cook?"
Simmons,Where are you going with this?
Mace,You don't know me at all.
Simmons,"Not well enough, apparently."
Mace,"I'm from Brooklyn, son of a plumber, played baseball in college and guitar, can't carry a tune. I say “soda,” not “pop,” and I like my barbecue sweet, not spicy. Never been married or had kids, but in the last five years, I've buried 17 of my closest friends and family. Some of them died right in my arms believing they were fighting for something real, stopping hate. And you're telling me it's meaningless?"
Simmons,"I'm sorry. I didn't mean to offend. But if you don't believe my story, you can ask Daisy once we rescue her."
Ward,You don't think I want that? She'd be free by now if I'd taken the shot on the Doctor when I had the chance.
Simmons,There's the Grant Ward I remember.
Ward,"How do you know what you believe is true? How do you know it's not the other way around, that you're not the one waking up to reality?"
Simmons,Because it's not possible.
Ward,Where is your proof?
Simmons,I don't need proof. This can't be real.
Ward,How?
Simmons,Because the man I love would never execute someone in cold blood. Fitz would never do that.
Ward,He did.
Mace,"Ms. Simmons. I know you've been through a lot. We all have. But what we do here matters, and you can never convince me otherwise."
Ward,What do you think? Delusional? PTSD?
Mace,I don't know. There might be a grain of truth to her story. Find out what that is.
Doctor,"Lies. That's all she gave us. Beaten to within an inch of her life. Nevertheless, she persisted."
Ophelia,Let's see if she'll open up to me.
Doctor,You? Why?
Ophelia,You and I have different methods. It's why we work so well together.
Doctor,"I'll stay, then."
Ophelia,"Actually, I heard there was an issue with Project Looking Glass. I'd like you to check in with Security, see what happened."
Doctor,Of course.
Ophelia,"Hello, Daisy."
Skye,"You know, I asked for a mani-pedi. Got tortured instead. B.T.-dubs, your psycho-prison sucks."
Ophelia,"This isn't a prison. All I did was fix one thing in everyone's life a regret. The subsequent world is simply a consequence of your actions, algorithms running their natural course, as Dr. Radcliffe always intended."
Radcliffe,"This isn't what I meant, you sadistic witch!"
Ophelia,Guard! Dr. Radcliffe is clearly still suffering the consequences of the errors he made.
Skye,If I had my powers.
Ophelia,"I can't give you those, but I can give you something else Something that will make all the pain go away."
Skye,You have no idea what that even...
Ophelia,"Lincoln Campbell. Think of it. You can live a peaceful life, have kids, grow old together with no memory of what's happened here or there, no regrets, just each other."
Skye,In exchange for?
Ophelia,"Just tell me where you are in the other world, and I'll bring Lincoln back."
Skye,"You can do that? ‘Cause you're the puppet master, aren't you, pulling all the strings."
Ophelia,I'm just giving people what they want. Why is that wrong?
Skye,Because sometimes what people want isn't right for them.
Ophelia,I can fix that.
Skye,And what do you get out of all of this?
Opelia,What everyone else has. A choice.
Mace,Have we I.D.'d everyone yet?
Burrows,About half. I can start notifying families as soon as...
Mace,"No, I want to do that myself when we get back. Leaving in 10."
Mack,"Sir, the plates are switched, the transponder's toast. There's no way Hydra can track the bus."
Mace,Fast work. What's with the sat-radio?
Mack,"Well, I noticed the bus had a comms system, so I decrypted it and synched it up with this. So now we can listen in on Hydra's transmissions and maybe steal some intel."
Mace,"You, my friend, are gonna fit right in here."
Mack,"Well, I can do more. If you need a driver, I got a lead foot."
Mace,"I appreciate the offer, but another lead-footed soul already volunteered."
Coulson,"I saw Mace briefly. You told him, didn't you?"
Simmons,I knew I was losing him when his complexion changed from oatmeal to water chestnut. Shades of flesh color programmed into the Framework. Fitz believed even empty vessels needed variety.
Hope,"You mean Dr. Fitz, the guy from my history book?"
Coulson,"Honestly, you really shouldn't pay much attention to what's in there. I taught it for years. It's more fiction than fact."
Hope,"Hi, Dad. Did you know that those Hydra books lied to us?"
Mack,"I guess you finished doing your homework, huh?"
Hope,Can I go check out the old Quinjet?
Mack,"Oh, come on, Sparkplug, you know you don't need a Quinjet to fly. Right? You know that, right?"
Simmons,Mack?
Mack,"Yeah, that's right. I'm sorry. Have we met?"
