character,line
Computer,"Agent John Garrett, confirmed. Agent Antoine Triplett, confirmed."
Triplett,"Well, it's no Four Seasons."
Garrett,"Well, as safe houses go, it's not bad. Phuket didn't even have mattresses."
Triplett,"Yeah, but Cairo had thousand-thread-count sheets, with that sateen finish."
Garrett,"Hey, be careful what you get used to. Dig out that sat phone and get Coulson on the line. I want to run down through the list of potential candidates with him."
Triplett,You really think the Clairvoyant was on the index?
Garrett,Rejected off the index. Possibly. Just hope it's not the amazing Kreskin. [chuckles] I used to love that guy.
Triplett,Who?
Computer,"Area 3, breach."
Mike,Aah!
Garrett,Hit him with an icer!
Hand,"You realize, Agent Coulson, they have these things called teleconferences now."
Coulson,"Nice to see you, too, Agent Hand. Thank you all for coming on such short notice."
Sitwell,"A little unconventional meeting this way, isn't it?"
Blake,"Oh, from the reports I've read, “unconventional” seems to be Coulson's middle name these days."
Garrett,"Fight breaks out, let me take Blake. He's coy but scrappy."
Coulson,"I'll explain everything as soon as we hit 50,000 feet. This way."
May,"Cruising altitude reached, bearing 90 degrees just over the North pole."
Coulson,Thank you.
Garret,"Apologies for the song and dance, but we brought you here as a precaution."
Sitwell,A precaution against what?
Coulson,"The Clairvoyant. If there is someone out there who can read minds, at least up here, we're as far away from him as possible."
Garrett,Figure maybe the Northern lights will knock a few bars off his psychic wi-fi.
Blake,"Coulson, you know S.H.I.E.L.D.'s stance on psychics... they don't exist."
Hand,Are you suddenly a believer?
Coulson,"Not definitively. But I had a recent experience with an Asgardian who could bend people's will with her voice. Forced me to open my mind, so to speak."
Garrett,"All we know for sure is the Clairvoyant's been a step ahead of us, stealing plays from our playbook."
Coulson,And it's pissing me off. I take it you've all read Agent Garrett's latest report.
Sitwell,The hit on the safe house. Mr. Peterson's alive and kicking.
May,We call him Deathlok.
Ward,It was the project's code name.
Triplett,Agent Garrett and I have been tracking him the last few weeks.
Garrett,And we think the Clairvoyant's super-soldier bodyguard came after us for a reason. We're getting close.
Hand,To what? His identity?
Garrett,We've narrowed the list to 13 candidates.
Blake,Narrowed it how? From what?
Coulson,"Agent Garrett has been taking a second look at S.H.I.E.L.D.'s gifted index, specifically the rejects."
Garrett,Individuals S.H.I.E.L.D. interviewed who are believed to have psychic abilities but were ultimately dismissed.
Sitwell,So you think we've encountered the Clairvoyant before.
Coulson,"Think how many cases we've encountered across the globe, how many cases we vetted. It's more than possible. It's probable."
Blake,I need more coffee.
Hand,"Let's assume what you're saying is possible. What then? If we're going up against an actual Clairvoyant, how do you suggest we combat that?"
Garrett,By compartmentalizing the information.
Coulson,"A member of my team is an expert at pattern recognition and analysis... finding needles in haystacks. She'll prioritize the candidates on Garrett's list, locate them, then pair us off into random teams."
Garrett,"That way, only one person knows the full scope of the mission."
Hand,You do understand that this person you're referring to... she'd need to be a S.H.I.E.L.D. agent to be granted that level of access.
Coulson,I'm glad you brought that up.
Skye,"Guys, I swear, I am fine. How much blood are you gonna draw before you believe me?"
Simmons,Your recovery... it's honestly quite unbelievable.
Fitz,Strange.
Simmons,"We know Coulson had a very different recovery experience, so we understand why he's hesitant about sharing our findings with others."
Fitz,"Yeah, but something like this drug... it needs to be studied. Has the potential to save so many lives."
Simmons,We'd like to send a blood sample of yours to some colleagues to do a molecular breakdown. Maybe if you spoke to Agent Coulson...
Skye,"Yeah, I don't think that's a good idea. If Coulson thinks it's important that this stays between us, then we should trust him. Right? He's the boss."
Simmons,So you're saying we should obey the rules.
Fitz,"Who are you, and what have you done with Skye?"
Ward,"Skye, upstairs. Top brass wants to see you."
Skye,"Pairing off makes total sense. Just one thought, though... what if we make it a double-blind?"
Hand,How so?
Skye,"Well, I'll give one person from each team the potential Clairvoyant's coordinates, and I'll give the other one the identity. That way, no one person knows the full specs of the op until you get there."
Garrett,I like how you think. I like how she thinks.
Skye,One question... how am I supposed to access all the classified files without someone in the room? I don't have clearance.
Coulson,"Now you do. Welcome to S.H.I.E.L.D., Skye."
May,I told them to come up.
Skye,I ... I... I don't know what to say. Thank you.
Coulson,Don't thank me. You've passed every required S.H.I.E.L.D. exam with flying colors.
Hand,For a level 1 agent.
Coulson,"You've assisted us on multiple field missions, put your life on the line. You earned this."
Garrett,Hell... you took two in the gut. More than Sitwell here's ever done.
Coulson,"Okay, everyone. Back to work."
Garrett,Congratulations.
Skye,Thanks.
Simmons,"Congratulations, Skye."
Skye,Awesome!
Fitz,Congratulations.
Skye,Couldn't have done it without a great and very patient S.O.
Ward,"Yeah, you could have. I'm no Clairvoyant, but I do believe some things are meant to be."
Sitwell,Can't say I'm a fan... of this double-blind situation. How will the field teams meet us at the destinations?
Coulson,They won't. They'll be on standby. We can't risk the Clairvoyant knowing we're coming.
Sitwell,"What you're saying is, one of these teams could be heading straight into an ambush without backup."
Hand,"Agent Sitwell, I just received word from the Triskelion. You have orders to report to the Lemurian Star immediately."
Coulson,So I assume you'll take his place.
Hand,In your hunt for Santa Claus? No. I'm taking a transport jet back to the Hub where I can quarterback the field teams via satellite. Someone's gonna have to pull your asses out of the fire when things go South. I'll be in touch.
Sitwell,"I guess I got a boat to catch. Good luck, Agent Coulson."
Coulson,"You, too, Agent Sitwell."
Skye,"Okay, on this phone, you will find a set of coordinates that'll lead you to one of the three potential Clairvoyants I've chosen. When you're within a mile, your partner will be granted access to the candidate's name and profile on their own phone. Make sense?"
