character,line
Daisy,He's out of time.
Mack,There has to be another way.
Simmons,"I'm telling you, the implant only contains enough for one dose. Either it's medicine or a weapon."
Piper,Davis said there's no change.
Elena,Why are we still discussing this? The scale has tipped to one side.
Daisy,"This isn't numbers, it's Coulson."
Piper,You don't wanna be in there?
Elena,And Coulson didn't want this! How many times did he have to make that clear?
Deke,That's for them to decide.
Elena,I know it's terrible. I can't bear to see him like that. But this... this is the moment.
Fitz,This is the exact circumstance that she warned herself about.
May,We're all aware.
Elena,We can change it right now.
Daisy,The odium mixture won't work if we can't penetrate Talbot's skin.
Simmons,"Bullets can't get close to him, no one could touch him, not even you, Yo-Yo."
Daisy,There's no way to get the serum in his body.
Fitz,"What if he absorbs someone? Oh, don't look at me like that, it... it's hypothetical."
Elena,"Exactly, all we have to do is have it in the right hands and that maniac will take the bait."
Mack,"So, who'd you have in mind, you?"
Elena,"I don't know, maybe."
Mack,"Now, you want to sacrifice yourself too?"
Elena,"No, but I'm willing to. We all should be."
Simmons,We know Coulson would.
May,And if it doesn't work? He would have died for nothing.
Elena,Better than leaving this world in pieces!
Daisy,Robin said Coulson could put the pieces together. She thinks that he's the key to solving all of this.
Elena,She speaks in broken riddles. You're hearing what you want to hear.
Fitz,What could Coulson do?
Daisy,"He would never give up on Talbot. And he wouldn't see him as a maniac, he would see him as a man, as a broken man. Coulson's the only one that can talk him through this, that's what he does."
May,Put him back together.
Daisy,"I'm sorry, we save lives, I have to make this call. Fitz, Simmons, get ready to... Yo-Yo?"
Elena,You're making me do this. I can't let you use it for that.
Mack,Put it down.
Fitz,"Okay, let's stay calm."
Elena,Stop making me the bad guy. I'm not. You just don't want him to die.
Daisy,Put it down.
Elena,I don't want him to die either but he's just one man.
Mack,No. No. None of that. Think about what you're doing here.
Elena,You won't listen. I'm in a nightmare and I'm screaming at the top of my lungs and none of you can hear me.
Simmons,We hear you.
Elena,"But you won't listen! You all saw what happened, and none of you will help me stop this. I'm alone and even you... even you won't help me."
Mack,"No, you're not alone. We're in this with you but we need to hold it together."
Elena,There's nothing holding us together!
Mack,"Yes, there is. Hope. We never give up. We're always held together by hope. So, we cling to it and we vote. We vote."
Elena,"No, why? No. No."
May,I'm sorry.
Fitz,Simmons and I will prepare the remedy. Everyone else should prepare for the end of the world.
Talbot,"Art project. It's time for you to point to the place where you saw me surrounded by the liquid metal. Just draw a little dot. If you get me close, I'll feel it now. You see this little guy? I'm the saviour that's going to protect it but I need some help. What do you say? Then I'll just take your damn soothsayer powers! Cut to the chase!"
Robin,"No, you won't."
Talbot,Of course not. You're just a kid. But I will find a way to win you over.
Polly,I'm here. You're doing good. Don't help him.
Robin,"But if I don't, this will be the last time I see you."
Polly,No! No! No! Robin! No! Let me go!
Talbot,"That's true. You're not gonna see your mother again until I get what I want. Now, let's try this again. Just one little dot."
Elena,You're going to die.
Mack,"Well, everyone dies. And on that day, we'll have to answer up there for what we've done down here."
Elena,It's not God I'm afraid of.
Elena,I heard you were up.
Coulson,Up would imply the ability to stand. I'm not there yet.
Elena,"You will be. Um, I just want you to know no matter what they say, I was never arguing for you to die. I just... I was just arguing to not bet everything on you."
Coulson,And I would have taken your side.
Elena,I know.
Deke,"Let's put one of those in every room, if possible. It'll be useful, trust me. Did you finish fuelling up the Zephyr?"
Daisy,Yeah. And the Quinjet. We'll leave as soon as we get a location. I'm glad you're taking point here at the Lighthouse. Who better than you to decide what the next generation will look like. Get to show them the ins and outs of this place.
Deke,"Yeah, I don't know if I'm gonna be around for all that. I'll call the mayor and give the tour, but when you get back, I think I'll be out of here."
Daisy,Why?
Deke,"This is my room. I'm like a squirrel, hoarding anything I can find. Also, side note, found a nature book, learned about squirrels."
Daisy,Old habits die hard.
Deke,It's more like I'm a damaged person. From a damaged world. If there's even a chance that could happen again...
Daisy,You'd want to see the world before it does.
Deke,"I mean, besides, according to Fitz, if the world doesn't crack open and you break the time loop I'll just blink out of existence anyway. So, it's just one more vacancy, right? Come on, I never totally fit in with the gang anyway."
Daisy,Is that what we are?
Deke,"You know, when I first met you guys, I'd never seen anything like that. I mean, I'd seen people kill for each other without hesitation all the time, but I'd never seen a group that was willing to die for each other. Your trust, it just seemed too strong to break. And you trying to fix Coulson, that's great, I love the guy, but if you really wanna lead one day, then you've gotta fix that. Just my two cents. I also read a book on idiomatic expressions."
Piper,We're on the move.
Deke,They spotted him?
Daisy,Where is he?
Piper,Chicago.
Coulson,That's not something you see down at Urgent Care.
Simmons,"It's almost the same serum that was keeping Garrett alive, though the Centipede ingredients might give you a little extra mojo."
Coulson,"Jemma, you remember when I was carving into the walls, and you know how it ended with Garrett. We've seen what happens when we don't let nature take its course."
Simmons,"Yes, sir. And we discussed that as a group..."
May,Simmons. Will you give us a moment?
May,I'm not going to detail what we've risked to get this.
Coulson,I'm aware. And I'm not happy I was left out of that decision.
May,"You wouldn't wake up. But now, the decision's yours. You're too weak to stand? Well, we'd like to see you walk out of this room and re-join the fight. But it's up to you, if you think more time is worth it. I've made it clear how I feel."
Coulson,I think I have too.
May,"But even now, the word scares you."
Coulson,I'm just having a hard-enough time leaving you behind.
May,"So, don't."
Davis,We're ten minutes out.
Mack,"The buildings are holding for now and the tracker we placed on Robin is back online and it places her inside that ship. So, taking out Talbot is one thing, but we gotta clear the civilians and rescue Robin too."
May,Before the ship and the buildings collapse.
Fitz,I would like to get close and test the building's structural integrity.
Elena,You asked to see me.
Daisy,"Yeah. I'm aware that we rolled the dice with Coulson. And I still believe that we need him for this, but I will admit that I let my emotions get the best of me. I thought that Coulson was the only one who could keep us all on the same page. You would say that's proof that I can't do the job. That I shouldn't lead. Well, I agree. The truth is, I can't hold the team together. But he can. Coulson wants me to call the shots in his absence? Well, that's my decision, Mack should call the shots. He has the biggest heart. I mean, physically, but also, you know... You are our moral centre. And look, I never want to stop being a soldier. He is a general we can all rally behind. Anyone who thinks I'm 100 percent right about this, raise your hand."
Coulson,Couldn't have said it better myself.
Simmons,Thank God.
Fitz,"Sir, good to see you."
Coulson,"Hold the applause. She didn't go through that for nothing. Time to suit up. So, what do we do?"
Mack,We save lives.
Officer,Block off that road! Get down! Get down! This is Chicago P.D. Hands above your head or we will open fire!
Talbot,"All that would be is noise. Right now, I want quiet. I can feel my future power coursing through the ground below."
Woman,I have a feeling that isn't gonna do much.
Officer,"Yeah, it's feeling that way. Who is it?"
Mack,"Officers on the ground, first responders, this is S.H.I.E.L.D. We're here to help."
Officer,"Oh, thank God."
Mack,"We have an aircraft to evacuate any civilians trapped near the centre of the city. You'll know it when you see it. Get them there. We will clear the high floors of the impacted buildings before they collapse. And most importantly, do not engage the enemy. I repeat, do not engage the enemy. We will handle it."
Mack,"I got you, I got you. Right, come on."
May,"Come on, come on, you okay?"
Man,Yes.
May,Let's go.
Fitz,"Yeah, go, go, go."
May,"Come on, come on, all right."
Fitz,"I'll give ‘em some light so, we can make the stairwell. Yeah, this way."
Robin,Mum?
May,"Robin? It's okay, it's okay, Robin. You're okay. Mum, they took her away from me. They took her away."
Mack,"The hull of the ship is busted. She must have climbed out. Your mother, Polly, is she in there?"
May,Check the detention level. Bottom deck.
Mack,"All right, you stay with her."
Daisy,"All right. I'll hit Talbot hard, neutralise the threat, restrain him and you can walk right up and do the talking."
Coulson,I'm not going.
Daisy,What? Why?
Coulson,Because I can barely stand.
Daisy,You didn't take it.
Coulson,"Didn't feel right. It didn't feel like the way this was supposed to go. I'd have told you on the Zephyr, but you'd have pinned me down and jammed that syringe into my neck right there."
Daisy,Damn straight.
Coulson,I'm sorry.
Daisy,You're the only one who can reach Talbot.
Coulson,"That's not true. And I think we may be beyond that. If so, you're the only one who can defeat him. Appeal to him as a military man. He took an oath when he enlisted."
Daisy,"I can't believe this. I can't believe this. I can't. I can't do it. I can't go out there, especially not alone."
Coulson,"I've given you all the tools you need to handle this. Now, you find the strength in your heart to appeal to his good nature. And if you can't, find the strength in your arms to beat his ass senseless. We're out of time. Go."
Daisy,"You take it! Do you hear me? You fly back, and you take it. We fought for you, okay? We fought each other for you!"
Mack,Polly? Polly? Polly?
Polly,In here.
Fitz,"Robin. Oh, good. Where's Mack?"
May,"Uh, in the ship. He went to find Polly."
Fitz,"May, neither of them make it. Oh, no."
Polly,"Oh, thank God, you're here."
Mack,You okay?
Polly,Yeah. Robin?
Mack,Don't worry. We have her. Let's get you to her.
Polly,Okay.
Daisy,Stop! People are dying.
Talbot,"This is war. Collateral damage is part of it. I need to arm myself, so I can fight my enemies."
Daisy,"You're becoming the enemy, whether you believe it or not."
Mack,Run!
Polly,There's nowhere to go.
Davis,"Zephyr One, Quinjet 323, docking complete. We're on board. You want me to call for some assistance, sir? You don't look too good... Oh, my God. Coulson? Coulson? Coulson?"
Daisy,But it's not too late. Think about your son.
Talbot,I'm doing this for him.
Daisy,Did you see it in his face? How scared he was.
Talbot,"It's just because I seem different. I'm becoming the most powerful being in the universe. He'll see it, one day. The end justifies the means, right?"
Daisy,The only people who say that are the people doing bad things.
Talbot,I'm becoming a hero.
Daisy,"You are one. The minute that you enlisted, you became one. We all did. Look around, you're surrounded by them. Anyone who signs up for this, to lose friends, or limbs, or your mind, or your life in protection of humanity. We're in this together. We need to join forces."
Talbot,"That sounds good. You know, Hale gave me that speech, just before she tortured me. Coulson says it every time he's gonna stab me in the back. Humanity is on the brink and I alone can fix it. But you're right, we should join forces."
Robin,Mummy? Mummy.
May,"Come on, let's go."
Simmons,"Now that Davis is back, let's get ready to get up and out of here, the Zephyr is filling up fast."
Davis,Out of my way! He's not breathing.
Simmons,"No, the serum should have worked, I screened it for possible side effects."
Davis,He didn't take it.
May,Fitz!
Mack,Fitz!
Elena,Why did he listen to me? What have I done? Forgive me.
Talbot,I'll be able to get that buried treasure a lot faster once I can quake the ground apart.
Daisy,Please...
Talbot,I'm gonna need every weapon I can get in this fight.
Robin,Something's different.
Simmons,"It's gone! Yo-Yo, it's gone! Get the defibrillator, now!"
Talbot,"Well, now I'll just break you in half."
Mack,"There you are, buddy. You had me worried. We got you, just hang in there. We got you, buddy."
Fitz,"I hope you saved some energy. ‘Cause my leg's pinned, I think it's broken. You'll have to carry me."
May,"All right, we got you."
Mack,"We got you, Turbo. Just..."
Fitz,"I think it's a bad break, 'cause I can't feel it."
Mack,"Relax, buddy, just breathe."
Fitz,Huh? Yeah. Yeah. Okay.
Mack,"Just breathe. Yeah, I'm gonna stay with you..."
Fitz,Yeah.
Mack,... while we find a way out of this.
Fitz,"Yeah, okay. Okay. Right, we should hurry up and get Polly out, 'cause she's in danger."
May,She's safe now.
Mack,"Yeah, you got her out. You did good, Turbo. You did really good."
Fitz,"Okay... Hey, Mack. I think my leg's broken."
Mack,You've been... You've been through worse.
Coulson,"Come on, this is a celebration, not a funeral."
Mack,Remember how good it felt to walk in here when we first got back? The Zephyr has been the one place we've been able to call home these last few years.
Daisy,I'll always miss the Bus.
May,Me too.
Elena,I wish I would have known you guys back then.
Simmons,We were different people back then.
