character,line
May,"Trip, find some cloud cover."
Triplett,Roger that.
Billy Koenig,"You think they're coming back? Well, should we cloak?"
May,Not yet.
Triplett,Are you seeing this?
Sam Koenig,Should we cloak?
May,Not yet!
Hunter,I can man the weapons-control pod.
May,"Just grab a seat, and lock in. It's gonna get bumpy."
Triplett,"Only cloud cover is about 20,000 feet below us."
May,We have about a minute before Hydra opens fire.
Billy Koenig,No. Go. Move over. Go!
Triplett,Okay. You done this before?
May,Not exactly.
Triplett,"19,000. 18,000. 17,000. 16,000. They've locked on us. Weapons are hot. Do you want me to cloak?"
May,Not yet. Now!
Triplett,Aah!
Triplett,Whew! Ha ha! The only word for that kind of flying is “fancy.”
May,Redirect us to San Juan. I'm gonna have to let Coulson know that Hydra has Skye.
Triplett,Copy that.
Coulson,Let me know as soon as you can get us down into the tunnels safely.
Simmons,"Of course, Sir."
Fitz,"Yes, Sir."
May,Whitehall's demand was for Raina. He said nothing about Skye.
Coulson,So Ward called an audible when he saw her on the plane.
May,Or had his own agenda the whole time. He told Skye he was keeping his promise.
Coulson,"Which means he's taking her to meet daddy dearest. If there's a silver lining, it's that she's probably still alive. Agent Morse, Hydra knows the alien city's here, and they're coming our way. If any of their Agents are ex-S.H.I.E.L.D., they'll contact Diego for local Intel. Reach out again. Make sure he doesn't tell them about the fort entrance."
Morse,Copy that.
Coulson,"We'll do everything possible for Mack. But right now, we have to stop Hydra from getting the Obelisk into those tunnels."
Triplett,"I found four. Cutting-edge howling commando technology, circa 1945."
Billy Koenig,"Oh, 10 would be better. Without the dwarfs scanning the tunnels, we don't know what's down there."
Triplett,We know electronics don't work.
Billy Koenig,"Yeah, I know. That's why we need mechanical detonators for the bombs. Look, I'm sorry. These are awesome. Dum dum dugan would be proud. I don't want to sound ungrateful."
Triplett,The good news about going old school is that these babies are immune to EMP's and electronic jamming. The bad news...
Billy Koenig,You can't trigger them remotely.
Triplett,"We'll start the timers and run like hell. Pick four spots, and I'll make them go boom."
Billy Koenig,"Okay. Well, Agent May says this is ground zero for the Obelisk and whatever apocalyptic stuff it's supposed to do. So if we plant explosives around it..."
Simmons,Getting into the city and moving safely about doesn't seem nearly as hard as finding a way to save Mack.
Fitz,"You don't have to say things about Mack being alive just because he was my friend, Jemma."
Simmons,"We're dealing with alien tech, alien biology. Who knows what might have happened to Mack down there."
Fitz,"That's a good point, actually. I apologize. It's just I've been thinking about self-defense."
Simmons,"I know you might still have hurt feelings, but we need to concentr..."
Fitz,"Oh, no, no. No. Uh, I'm not... I'm not talking about myself. I'm... I'm speaking about the..."
Simmons,The city.
Fitz,"Yeah. Y... what if it reacts when it senses a threat? I mean, it's the same way the Obelisk would when somebody touches it. I mean, we... we both know that alien materials react negatively to human biology."
Simmons,The way white blood cells fight off bacteria or a virus.
Fitz,Yeah. Which is why I'm afraid that Mack's... most likely dead.
Simmons,"There are other possibilities. What if the city didn't kill Mack, but co-opted him, made him a part of it?"
Fitz,Like zombie ants?
