character,line
Man,Stop right there!
Raina,What are you doing here?
Ward,A gift from the Clairvoyant.
Reporter,"Today, world leaders are scrambling for answers after the world's most advanced spy agency was crippled by a series of attacks. The president contends..."
Agent,Sir.
Reporter,... this is the biggest intelligence leak in world history.
Coulson,"Find Agent Martin. We need a back channel to the U.N., someone we trust."
Reporter,But what's even more disturbing... the documents released from S.H.I.E.L.D. show clear evidence of human experimentation...
Skye,I made a list of S.H.I.E.L.D. bases we believe are secure.
Coulson,How many so far? Seven?
Skye,Three.
Coulson,Plus the Hub.
Skye,Including the Hub. It's a preliminary list. I'm sure more will turn up.
Reporter,"... the members of Congress are calling for investigation. But it's still unclear who should be held accountable. Many of its leaders have vanished, leaving S.H.I.E.L.D...."
Skye,"You were right all along. Having all this out there in the world makes it too dangerous, and now... there's no one left to protect it."
Coulson,"There's us. We were lucky enough to make it through. The Triskelion, the Hub... Those battles are just the beginning of this war. Hydra's out there now, but at least our team's still intact. We can fight them, and we will."
Raina,This is where we're meeting the Clairvoyant?
Garrett,There's no need to call me that anymore. Name's John. John Garrett. Guess you were expecting more the fortune-teller type.
Raina,It's an honor to finally meet you.
Garrett,"Please, the pleasure's all mine. You've done great work for us on the Centipede project."
Raina,It was your gift that showed me the way.
Garrett,"Sorry, Flowers. I hate to disappoint you. I never had any gifts, at least not the kind you believed in. Just a very high level S.H.I.E.L.D. security clearance and persuasive personality."
Raina,You're not Clairvoyant?
Garrett,"Hardly. But if it's any consolation, you weren't alone in believing, not by a long shot."
Raina,So you're a liar. You're a fraud.
Garrett,"An artist. A con artist, perhaps, but an artist all the same. Had to pull the wool over S.H.I.E.L.D.'s eyes somehow to do what we set out to do. Remember what that was?"
Raina,To change the world.
Garrett,"Why don't you take a seat and let me show you how we're doing that? Oh, don't worry. I wouldn't dream of letting Ernesto cut your hair. Welcome to Hydra."
Simmons,You need to replace the grounding wires.
Fitz,There's no time. Ramp needs to be repaired by the end of the day. Coulson's orders.
Simmons,"What? Are they even proper orders? S.H.I.E.L.D.'s been destroyed, Fury's dead. Aren't they just requests?"
