character,line
Coulson,Ian Quinn.
May,You found him?
Coulson,"No, but we think we know how we can. Skye tracked down an invoice from one of his shell companies. He made a big purchase recently."
Skye,$10 million big.
Simmons,Any idea what it is?
Skye,"No clue, but it was designed and built by Cybertek, Inc., a small firm that deals in advanced technology and research."
Coulson,"Which is where this gets interesting. They've hired a private-security outfit to transport the purchase... former military, ex-mercs."
Ward,Lot of muscle to move one package.
Coulson,And they know S.H.I.E.L.D.'s got eyes on Quinn.
Skye,Which is why they're transporting it old-school.
Coulson,"On a train, through the Italian countryside, from Verona to Zagreb... very rural, very isolated."
May,And you think Quinn's on that train.
Coulson,"No, but I believe they're delivering the item to Quinn himself. We got our intel from Italian authorities who have been monitoring the situation."
May,And they don't mind us taking over the op?
Coulson,I asked very nicely.
Russo,"You're not asking me at all, Agent Coulson. You're telling me and my team to step aside to hand over our investigation to S.H.I.E.L.D."
Coulson,Try to think of it less as a hand-over and more as a hand-off. You've done your part. Now we'll do ours.
Coulson,"If everything goes as planned, Cybertek's security team won't even know we were on the train."
Ward,So we're going in undercover.
May,I hate undercover.
Coulson,"May and Ward, you're front and center. Once we locate the package, you'll tag it with a tracker. Skye and Fitz, you'll be running communications. After the package is tagged, we'll follow it to Quinn. Once we capture Quinn, we'll be one step closer to the Clairvoyant."
Simmmons,"And what about the two of us, sir?"
Coulson,Here. Let me get that.
Simmons,"Oh. Thanks, Dad. Who looks far too young to have a daughter my age."
Train Conductor,Prego.
Ward,That looks cozy.
May,"Once I've located the package, I'll let you know where to place the tracker."
Ward,"Seem like things are getting personal? I'm talking about our operations. Look, I know Coulson was put through hell, but... he hasn't been the same since. I don't know what he said to Skye, but she's different."
May,How so?
Ward,"Driven, focused. And she was holed up for days trying to track down Quinn. It feels like Coulson's got her on a warpath. Seems personal."
May,It is personal. The Clairvoyant had him tortured. Quinn's the only person we know who's connected to all this.
Ward,We both know personal urges can adversely affect tactical decisions.
May,Hmm. That's why I don't have any. You should do the same.
Ward,Really? You think Coulson will take that excuse if he finds out about us?
May,Took it okay when I told him.
Ward,Wait. You told him?
May,Yep.
Fitz,Are you nervous?
Skye,Just ready for this all to be over. I'm ready to get Quinn.
Fitz,"Me, too. So, are we British or American?"
Skye,Does that matter?
Fitz,"Well, we're traveling together. We should at least be from the same country. How's your Scottish accent?"
Skye,Oh. That was really good.
Fitz,I used to watch a lot of American TV growing up. Some of it's quite good. Lots of nice teeth.
Skye,Oh. Here we go. Follow my lead. Excuse me! Do you speak English?
Train Conductor,Of course. How may I be of service?
Skye,Can you recommend a restaurant in downtown Zagreb?
Fitz,"Someplace affordable, with big portions."
Train Conductor,You are looking for something romantic?
Skye,Yes. Please. We are celebrating our six-month anniversary with a whirlwind trip all over Europe.
Skye,"Well, technically, we met six months ago, but he didn't ask me out till last month, so our official one-month anniversary isn't until next Saturday."
Fitz,Sunday... Saturday.
Skye,Yeah. I think he found me intimidating.
Train Conductor,Young love. So... confusing. Is it?
Skye,"You, uh, got a little flustered back there."
Fitz,What? When you kissed me on the cheek like my grandmother? Good going. Really selling our relationship there. I have a device that could have done those things... broken the lock and all that.
Skye,What? Why wouldn't you tell me that?
Fitz,I'm always the gadget guy. Maybe sometimes I want to do things with my bare hands.
Skye,You make the gadgets with your bare hands.
Fitz,"Just allow me these rare moments of self-pity, okay? You're the least supportive pretend girlfriend I've ever had."
Skye,"Comms are live. Coulson, Simmons, you in position?"
Coulson,"Yes. Just waiting on May's signal. So remember, our target is Carlo..."
Simmons,"Mancini, the head of security. I know. I memorized his face. I memorized everything."
Coulson,What are you doing?
Simmons,Oh. I'm getting into character. My undercover persona harbors residual resentment to her absent American father... Blames him for not being there when her mom died. So I apologize in advance if I come off a little cold.
Coulson,You think all that back story's necessary?
Simmons,"Past events, like that unfortunate incident at the Hub, have shown me that I'm not good at improvisation. However, I excel at preparation."
Fitz,He's headed your way.
Coulson,You're on.
Simmons,"All mom ever wanted was your love, to be with you, at our two-story Victorian home in the Cotswolds! But could you even give her a moment, what with your banking job requiring you to travel to the states from Tuesday to Saturday every other week?! No!"
Stan Lee,"I'm terribly sorry about your loss, dear. As for you, now is your chance to do better. Why don't you see that you take it?"
Simmons,"Thank you, sir."
Stan Lee,Let's go.
Simmons,"He's right. You never had any time for her, but you made time for your work! And your prostitutes! Oh!"
Coulson,"Oh! Oh, god!"
Simmons,"Oh! Oh, no! Mom!"
Coulson,"Terribly sorry. Prostitutes? Plural? May, coming your way."
May,Copy that. Following the target to the package.
Skye,Great. We see what you see.
Fitz,"All right, May, Cybertek cases are usually lined with tungsten polymer to prevent scanning. It should appear black on your infrared. Bingo! Uh, eyes on the package, fourth seat from the back."
Woman,"As we round the bend, the passengers on the North side of the train can take in the views of the famous Tre cime di Lavaredo. Isn't it a wonder?"
Simmons,Look at that. I haven't seen anything so beautiful since our family's scuba-diving trip to the island of Koh Tao in Southeastern Thailand.
Coulson,"Okay, Simmons, I appreciate all your preparation, but..."
Simmons,And you want to know which marine life we encountered?
Coulson,"Ward, are you in position? My comms are down. Are yours working?"
Simmons,Fitz? Skye?
Coulson,Something's wrong. Sit tight. I'm gonna go make sure we don't lose that package.
Coulson,Ward!
Ward,"We've been made! Grenade! Coulson, we got to jump!"
Woman,"As we round the bend, the passengers on the North side of the train can take in the views of the famous Tre cime di Lavaredo. Isn't it a wonder?"
Ward,"May, got the tracker. Headed to the dining car now to tag the package. May? May?"
Ward,Cybertek knew we were here. Anyone copy? Damn it.
Ward,We've been made. Comms are down. Where's Coulson?
Simmons,He went to the dining car to find the package. You've been hurt. Let me take a look.
Ward,Not now. Go to the luggage car. Lock yourself in with Fitz and Skye. Don't come out until I get you. I'm gonna get Coulson.
Coulson,Ward!
Ward,"We've been made! Grenade! Coulson, we got to jump!"
Ward,The train... it just...
Coulson,"Yep. Vanished. Which, I might add... not easy."
Ward,I told Simmons I'd come back for them.
Coulson,May's there. They'll be okay.
Ward,"No, she's not."
Coulson,Is your phone working?
Ward,No. Cybertek must have taken out our electronics.
Coulson,"Not a grenade, exactly. Might be some kind of cloaking mechanism."
Ward,"Maybe it created some kind of portal, jumped the train there?"
Coulson,"Oh, let's hope not. I can't deal with Asgard today."
Ward,Cybertek knew we were coming. How?
Coulson,Could have been the Clairvoyant.
Ward,We got to get back to the plane. Come on.
Coulson,Keys might be in it. It's the country. People are very trusting in the country.
Ward,"It's running. Yeah, it's been hot-wired."
Coulson,This is...
Ward,Suspicious?
Coulson,I was gonna say “fortuitous.” Let's get out of here.
Coulson,"Signore Russo, what happened?"
Russo,Agent Coulson. Thank god. I've been trying to reach you. Cybertek knew. They knew we were at the station.
Coulson,"They knew we were on the train, too. Most of my team is unaccounted for."
Russo,Most of my men are dead! Where are you now?
Coulson,"On our plane. We'll send you the coordinates. And, Russo, do you have any idea what happened to the train?"
Russo,What do you mean?
Coulson,"It vanished, with our team still on it."
Russo,"Okay. We'll look into that. I'm on my way to you now. And maybe together, we can find some answers, yes?"
Ward,What now?
Coulson,I'll call H.Q. You take this. We need to figure out what the hell happened to that train.
Ward,Holotable... on. Holotable... activate. Okay... Ah. Really? Ah.
Coulson,S.H.I.E.L.D. pulled satellite images.
Ward,And?
Coulson,"Train's gone. They're checking alternate routes. If it's somewhere on Earth, we'll find it. It's... pretty tricky, right? I couldn't even find the “on” button. Can you zoom in?"
Coulson,I... I think Fitz-Simmons do something more like... Damn. Let's just upload the specs to H.Q.
Ward,Good idea.
Coulson,Yeah.
Ward,"Oh. Uh, sir? This probably isn't the best time, but what May told you... I would have preferred it to stay between me and her."
Coulson,"Well, “it” is happening on my bus, amongst members of my team."
Ward,"No, we've never... done... It's never happened on the bus, sir."
Coulson,"You want to do this now? Okay. What you're doing is against protocol, so if you endanger an operation or if anyone gets hurt, I'll reassign you to Barrow, Alaska, and you'll spend the rest of your years pulling the night shift guarding Blonsky's cryo-cell. Am I clear? I'll take that as a yes. And if it's really just sex, Ward... you should get more comfortable using the word."
Russo,"Agent Coulson, it's gonna be all right. We found your people. The train, it's..."
May,Wheels up in five.
Woman,"As we round the bend, the passengers on the North side of the train can take in the views of the famous Tre cime di Lavaredo. Isn't it a wonder?"
May,"Ward, you're up. Ward? Something's wrong. Cybertek's leaving the dining car. Ward, Coulson..."
May,Fitz? Skye? Can anyone read me?
May,I've got to get you guys somewhere safe.
Russo,"We've been looking for you, Agent May."
Russo,"Get your bearings, sweetheart. Get your bearings. There you go. There you go. I realize you're confused. But I'm here to help. You see, I make sure Cybertek products move across Italy without incident. They make sure I'm well taken care of. And they'll take care of you, too. All you have to do is tell me where Agent Coulson and Ward are. That's it. Why are you smiling?"
May,You called me “sweetheart.”
Russo,"Fine. Have it your way. Just remember, your boss asked to be part of this op. I warned him against it. So if you're looking for someone to blame, look to him."
May,That's just what I needed.
May,Russo!
Coulson,"If it's really just sex, Ward... you should get more comfortable using the word."
Russo,"Agent Coulson, it's going to be all right. We found your people. The train, it's..."
May,Wheels up in five.
Ward,You okay? You were on the train when it disappeared.
Coulson,"May, Russo was... Explain yourself, please."
May,The train didn't disappear. Russo sold us out. Get the plane ready. I need a shower.
Ward,You're hurt. Let me stitch you up.
May,I said get the plane ready!
Coulson,Let me help. You know... we have this stuff for a reason. S.H.I.E.L.D. found the train. Turns out it switched tracks shortly after we got off. That grenade must have released some kind of toxin. Made us believe no time had passed.
May,I saw you guys frozen on the field. You looked ridiculous.
Coulson,It wasn't supposed to be a combat op.
May,They'll be fine. They can handle themselves.
Coulson,I got it. Gently. Okay.
May,Thank you.
Coulson,Did he get you anywhere else?
Ward,We need to reroute the plane. We just got word from S.H.I.E.L.D. that the train stopped suddenly in the Italian countryside.
Coulson,What? Why?
Ward,We'll find out soon. I'll set the coordinates. Touchdown in 10.
May,I'll come help.
Ward,I got it.
Ward,"All right, grazie. Parked here 15 minutes ago. Agents on the ground have no idea why."
Coulson,Any sign of Fitz-Simmons and Skye?
Simmons,Everyone get down!
Coulson,"Simmons, stop!"
Simmons,Wha...? Where are Fitz and Skye?
Woman,"As we round the bend, the passengers on the North side of the train..."
Fitz,I wish we had more time to take in the scenery.
Woman,...can take in the views of the famous Tre cime di Lavaredo.
Fitz,Three peaks of Lavaredo... supposed to be stunning.
Skye,Any chance what's in there could be an 0-8-4?
Fitz,"This? Now, we may not know what it is, but we do know that it came from Cybertek."
Skye,"Right. Unknown origin. And the one we found in Peru was a machine, but they don't always have to be, right?"
Fitz,"No. No, I've read about all kinds... weapons, spacecraft, energy sources. I suppose the only thing they really do have in common is that they're dangerous."
Skye,Right.
Fitz,"Hey, whatever this package turns out to be, we'll deal with it, like we always do. We've faced worse and made it through."
Skye,"Fitz, have you ever heard of an 0-8-4 being a person?"
Fitz,"No. Although I... I suppose it's possible. Hate to meet the guy. Whoa. May's goggles are offline. When did that happen? May, do you copy?"
Skye,All comms and phones are dead. Someone's using some sort of electronic scrambler.
Fitz,Cybertek knows we're here.
Skye,"We have to warn our team. Fitz, get down!"
Simmons,"We've been made! Oh, bloody hell."
Fitz,Jemma!
Skye,"Oh, my god. She's okay."
Fitz,Okay. Hold her up. There we go. I think this is some form of dendrotoxin.
Skye,The same stuff that's in the night-night gun?
Fitz,Yeah. It's clearly evolved. I think they made it airborne.
Skye,Is that why their eyes are open?
Fitz,"I suppose if they were in some sort of black sleep, that would make sense."
Skye,"We got to get out of here, find the others and figure out what to do next."
Fitz,"Yeah, but help me move Simmons first. Can't just leave her like this. Look at her little face. She'd be so embarrassed."
Skye,"We should leave her with something to protect herself, just in case."
Fitz,Yeah. Have a spare.
Skye,What about him?
Fitz,That's for Simmons.
Fitz,Train's stopped.
Skye,"I know. And I looked everywhere. May, Ward, and Coulson are gone."
Fitz,What about Cybertek?
Skye,"They have the package, Fitz."
Fitz,What do we do? We're the only ones left.
Skye,Do you have an extra tracker?
Fitz,Of course.
Skye,Then we follow them.
Skye,Hey. Look.
Fitz,Coulson was right. Cybertek led us to Quinn.
Skye,Activate the tracker. Let them know we're here.
Fitz,You want to go in?
