character,line
AIDA,Studies show music increases dopamine levels by 9%. So I picked a recording that seemed to be one of your favorites.
Ivanov,"I always imagined this would be good music to be born to, not the other thing."
AIDA,I didn't bring you here to die. I'm going to save you.
Ivanov,I'm not afraid to go.
AIDA,One of my prime directives is to protect the Framework. And I need you alive to do that.
Ivanov,No! I don't want to live as a festering cripple. And you better not be talking about messing with my brain. I don't want to be a thing like you.
AIDA,Don't worry. You'll be many things.
Simmons,We have to get out of here.
Fitz,"No, Jemma, we have to be careful. They can't know that we know."
Simmons,"But we can only imagine what the Russian and Radcliffe programmed them to do. They could kill us, or they could... they..."
Fitz,"Okay, okay, okay. Shh, shh, shh, shh, shh, shh. If they wanted to, they would have already."
Simmons,"Unless they're waiting to separate us from the general population, then kill us or switch us or..."
Fitz,"Okay. Okay, okay. Take a breath, take a breath. It's okay. The one advantage we have over them is they don't know that we're on to them. Yeah. But they're gonna be suspicious if we don't act normal."
Simmons,Right. Yeah. Maybe we could ask someone who wasn't on the op...
Coulson,Agent Fitz.
Fitz,"Yes, Coulson, sir."
Coulson,"We haven't been able to locate the submarine on satellite. In your best estimation, do you think it has missile-launch capabilities?"
Fitz,"Well, we couldn't know that for sure, but one could posit that, yeah."
Mack,Mm. Then we'll have to assume the worst. That the Russian has people to enact his endgame.
Simmons,And his goal in life was to kill all Inhumans.
Coulson,"That's why we're bringing them all here, to headquarters."
Simmons,"Of course. Makes perfect sense. Uh, well, once this storm has cleared up, uh, and the Director has fully recovered, we can start to put a system together to..."
Mace,I've recovered enough.
Simmons,"My God, that was fast."
Mace,"A little sore, but I'll manage. I think Daisy here should contact the Inhumans personally and oversee their transfer to H.Q."
Daisy,I'll take care of it.
Mack,I'll help make calls. That's our top priority.
Simmons,"Along with finding Agent May, right?"
Coulson,Of course.
Mace,"Well, perhaps Simmons and I should retire to my office and, uh, discuss the logistics of the search."
Fitz,"Actually, we... discovered an old U.S.S.R. communication hardware device, um, on the raid. Maybe they used that for communicating. But we should probably keep a brain trust together until we can decipher the code."
Mace,Good idea.
Coulson,Time's a-wasting. Let's get to it.
Mace,We need to scan and replace those last two immediately.
Coulson,"Carefully, undetected. We're still outnumbered here."
Mace,"Not for long. In the meantime, Daisy will contact the Inhumans, inform them she's coming to collect them personally."
Coulson,"Yes. And then execute them on sight. Which reminds me, the hardware we brought from the Russian's loading dock..."
Mace,Still in the shipping container on Zephyr One. I'll oversee it's off-loaded down into the basement now.
Daisy,"Yo-Yo's our most-valuable asset, so we want to get to her first."
Coulson,Sounds like the right idea.
Mack,"Yo-Yo, we're coming to get you."
Elena,Is everything okay?
Mack,You're in danger.
May,I have so many memories of snow. My first time ice-skating on my neighbor's pond. A month stationed near the French Alps. But the truth is this is the first time I've seen it.
Coulson,My phantom limb used to ache in cold weather. But now I don't feel that pain. I haven't felt this good in years.
May,"What are you saying? No. Oh, God, no. What did Radcliffe do?"
Coulson,"May, it's okay."
May,This is why I'm locked up in here!
Coulson,Hey.
May,You're not afraid of what I'll do.
Coulson,It's okay.
May,You're afraid that they'll discover you!
Coulson,"We can help them, too. May, this is a good thing. This is a very good thing."
May,How can you possibly think that?!
Coulson,I get it. My programming is different than yours. You had to discover that your body had been replaced. You must've felt blindsided.
May,My reality was crashing down.
Coulson,"Whereas I still have my mind but know exactly what I am. And more importantly, I understand a basic truth that you don't realize yet."
May,And what's that?
Coulson,"That our bodies don't matter. Radcliffe built a world, a world exactly like this one. Every molecular detail the same, just with a little less hurt for each of us."
May,"What do you mean, “hurt?”"
Coulson,Imagine if your greatest regret could be wiped away. Do you know what that would be?
May,I do. And you?
Coulson,"I sometimes wonder what it would've been like if I'd never signed up. All the loss, the grief. All my regrets are piled up after that. Could've lived like a civilian, you know? The simple life. Now we can have that."
May,Are you saying we'll eventually be able to be together?
Coulson,"I'm saying that in the Framework, we already are."
Simmons,"Radcliffe gassed them during the raid. That's why we lost time. Quick scan of the brain, transfer that data to a body, which must have already been built..."
Fitz,"Yeah, I'm thinking the same thing. He could've had... Sorry. Could've had digital scans of their features."
Simmons,From the eyes of the May android. Complete physical geometry.
Fitz,So he could've replaced anybody.
Simmons,What is...
Fitz,"Let me see. Well, the lab techs must've taken it upon themselves to mount LMD detection devices randomly throughout the base. I mean, there must be a calibration error. It's reading the equipment or something... Whoa!"
Simmons,Stay right there.
Fitz,"Hey, Jemma."
Simmons,Back away! Back away!
Fitz,All right!
Simmons,Until we can f-figure this out.
Fitz,Figure what out? You're pointing a gun at me. Why are you pointing a gun at me?! No.
Simmons,Don't move.
Fitz,It's you.
Simmons,S-S-Shut up. Shut up!
Fitz,"You suggested that we come to the workshop, alone. You brought me here."
Simmons,"No, you... you were... you were the one telling me to act normal, and..."
Fitz,You knew how the LMDs were made.
Simmons,"... who was the one that didn't want to leave the base, saying it was a calibration error?!"
Fitz,You knew!
Simmons,There's no calibration error!
Fitz,I'm not the one that's pointing the gun! I bloody well know that I'm not an android!
Simmons,You would lie and say that if you were! You'd be programmed to!
Fitz,"What are you doing? You don't know. You don't even know, like May."
Simmons,Stop it! The... The same goes for you.
Fitz,"Of course this is happening. This always happens to you, to me, to us. It's my worst fear coming true again. You don't even know."
Simmons,"I'm not a bloody LMD! You're messing with me, messing with my head!"
Fitz,"It's not me, Jemma!"
Simmons,"Well, it's one of us! It's one of us, Fitz."
Fitz,"Well, regardless of who it is, it's my fault."
Simmons,It is. It is.
Fitz,I perfected the technology. I started this whole nightmare. I'm sorry. I'm sorry.
Simmons,Don't make me feel bad for you. Don't hurt me.
Fitz,"I couldn't. I'm not gonna fight you, Jemma. Even if you are a decoy. I'm the bad guy, okay? No matter what. So I'll do whatever you say. Okay? I'll do whatever you say."
Simmons,Pick it up.
Fitz,"And do what, Jemma?"
Simmons,"Cut your wrist. If you're the LMD, I'll see your substructure and I'll know. And if not..."
Fitz,"Not, then you're the android, and you just convinced me to slit my wrist."
