character,line
Hunter,That won't end well. Ohh.
Coulson,Get us in the air.
Mike,Will do.
Fitz,Mike?
Mike,"Hey, Fitz. Good to see you again."
Fitz,"New hardware. Hey, how did you upgrade..."
Coulson,"Not now, Fitz."
Hunter,Strap in.
Fitz,"Hey, those tips for evading the tail were very useful. Thanks."
Coulson,The toolbox?
Fitz,"Yeah, it's been a while since I've been in the field solo. Not since, um..."
Hunter,It looks like you held up all right.
Fitz,"Yeah. Held up quite well, actually. And you?"
Coulson,"Fitz, we need to find Skye. Problem is, all we know is that she was taken by the same powered man who took Raina and Cal."
Fitz,Do we have any leads?
Coulson,"No, but HYDRA might. HYDRA's new heads... Strucker and List. My sources say they're researching powered people. Apparently, they're even more obsessed than Whitehall."
Hunter,"We need to know what they know, get into HYDRA."
Fitz,"Desperate times, desperate measures. Count me in."
Coulson,I'm relieved to hear you say that. We're making a deal with Ward.
Man,"Ethan Johnston, 26, potential enhanced. Died of cardiogenic shock in the 37th hour of experimentation."
List,Still no quantum signature?
Man,"No, Dr. List."
List,That's a waste. Take the cadaver to the lab. Compare him to the other samples. Hail HYDRA.
Cal,I told you I'd put our family back together.
Jiaying,"Yes, you did."
Cal,Last night was... something... almost exactly as I imagined it. Some things were different. She's still afraid of me.
Jiaying,"Whose fault is that, Cal?"
Cal,"No, I know. I know. You're right. I just... I-I wish she could have known me back when we were first married, when I was calm and my... my mind wasn't so... jumbled."
Jiaying,We've both changed. We're not the people we used to be. To lament that is a waste of time.
Cal,"You're right. She's here now, with us, right? That's pretty cool, right? Me being here puts you in a tough spot, I know. I-I know. I see the stink-eye from everyone."
Jiaying,They know you're not like us. They're wondering why you're here.
Cal,"I don't want to make things harder for you. I'll stay here, be quiet. I'llwait for our next family dinner. Hey, how about next time, we grill, huh?"
Jiaying,"Whatever you like. Yeah. In the meantime, why don't I have Gordon take you to pick up some of your belongings so that your time here is less..."
Cal,Prison-like? [Both chuckle] That would be fan-frigging-tastic. I miss my tunes.
Lincoln,"Sorry. I wish I didn't have to, but..."
Skye,Is it my go?
Lincoln,You're about a million miles away.
Skye,Sorry. I'm back at dinner.
Lincoln,"Dinner with my parents can stress me out, too."
Skye,"It wasn't stressful, exactly. I mean, I didn't want to see Cal, let alone be in the same room as him. I was sure he was gonna have some twisted surprise, but he didn't. It was nice."
Lincoln,That's good. Isn't it?
Skye,Did Jiaying tell you that she's sending Cal away? He's not coming back.
Lincoln,He doesn't exactly belong here. You think it's a bad idea.
Skye,"It's not a good one. He'll get upset, and someone will get hurt."
Lincoln,Talk to her. She's your mom.
Skye,Yeah. It's nice having someone normal to talk to. You hit me!
Morse,"Finally, an actual partner. Little tip, you could've avoided losing your footing if you would have flipped into it."
Mack,Flip? Now you're just making fun of me.
Morse,Maybe a little. It's not like I can bench-press a small hatchback.
Mack,Yeah. We all have our talents.
Morse,How's Simmons doing on Fury's toolbox?
Mack,"You ask me, she's stalling."
Morse,Maybe.
Mack,It doesn't bother you?
Mack,Ohh. I'm out.
Morse,"Yeah, a lot bothers me. It bothers me that we've been so focused on Coulson and Fury's toolbox. I mean, we have a... have a tail on Fitz, for god's sakes. It's not like HYDRA's gone. Coulson may be a lot of things, but he's not the enemy."
Mack,You sound like Hunter.
Morse,"Well, he might have been right on this one."
Mack,"Yeah, I've been wondering that myself. The only way to move forward right now is to get the truth out."
Morse,Any idea how to get the truth out of Fury's toolbox?
Mack,Uh-huh. It's flying in from the aircraft carrier as we speak.
Simmons,"They're bringing in some state-of-the-art, next-gen fiber laser."
May,That can cut through vibranium?
Simmons,If anything can.
May,Good. It's time we have it all out in the open.
Simmons,It's not exactly quite so simple.
May,"Simmons, what did you do?"
Simmons,"I duplicated the box, switched out Fury's real box for a fake, and all this time, I've been pretending to be working on it, when..."
May,Where is the real box now?
Simmons,Fitz has it. I didn't know who else to turn to. The... you're the only one I can trust here anymore.
May,I'll handle it.
Kara,"Thanks for the picture, it really helped clear some things up. Wait, Mom, what men? When exactly did they call? Okay, if they call again, don't say a word. I've got to go... call when I can."
Coulson,Agent 33. You're looking well.
Ward,"Hey, baby."
Coulson,"Hey, sweetie. Why don't you drop by? Love to catch up."
Mike,"That mask on your face, got any more of those lying around?"
Kara,Afraid not.
Mike,At least I have my winning personality.
Ward,"They didn't hurt you, did they?"
Kara,"No, I'm okay. You shouldn't have come."
Ward,Fact that this guy hasn't killed me yet means they need me. Mike.
Mike,Ward. Turn around. You know what needs to happen. All of it.
Coulson,Ward.
Ward,I'm flattered. Bringing the robot along just for a sit-down with me.
Coulson,"There's no need for false modesty. We both know you're that good. But frankly, this isn't about you. I'm after bigger fish. Strucker, List."
Ward,"Can't help you, not in HYDRA anymore."
Coulson,But you were.
Ward,"Even then, I only knew them by reputation, never met either."
Coulson,Again with the false modesty. You're resourceful. Bet you know a guy who knows a guy.
Ward,"You know, last time I suggested we work together, you called me a deluded son of a bitch."
Coulson,"Things change. I'm offering you a deal. Help me, and I'll let you walk away, free and clear. No more looking over your shoulder."
Ward,"When something's too good to be true, it's a lie."
Coulson,"Not lying. I tried the stick with you before, it didn't work so well, so I'm offering a carrot."
Ward,I'm listening.
Coulson,"Get me inside. After that, I put you through the T.A.H.I.T.I. protocol, and then you're free to go."
Ward,"Wipe my memories? Well, that sounds like a threat, not a carrot. I like who I am."
Coulson,"A murderer and a traitor? Sorry. My offer's the only way you leave here. I'm taking a huge chance. You could've run. You didn't. You risked your freedom for her. That says something, says that maybe there's still good left in you. Maybe Garrett, your family didn't destroy all that. T.A.H.I.T.I. will erase all the bad, let you be the man you wanna be, start over."
Ward,Free and clear.
Coulson,I give you my word as director of S.H.I.E.L.D.
Ward,I might know a guy.
Simmons,"No, no, no, no. No! I'd just hoped the highly modified hydrofluoric acid might cr..."
May,Stop. I told her the truth.
Simmons,"Truth about what, exactly?"
May,"Fitz replaced Fury's toolbox with a fake, ran off with the real one, and you've been covering for him since."
Morse,"Nobody's happy about it. I understand you're confused, who to trust, where to put your loyalties."
Simmons,"Yes, I am."
Morse,"But we've lost Coulson, the box, and Fitz. Eventually, I'm gonna have to tell Gonzales and the rest of the board what happened."
May,Unless we can find Coulson another way. You know Mike Peterson's hardware.
Simmons,You want me to try to tap into his feed?
May,Will that be a problem?
Simmons,"An opportunity to exonerate Coulson and Fitz? No, it's not a problem. I'll keep you updated."
Fitz,"This is crazy. We want to find Skye, yes, okay? But we are making a deal with..."
Hunter,"The devil. I'm afraid it's in the job description, mate. Expedient alliances with despicable characters."
Fitz,You'd work with Bobbi?
Hunter,"No, not a chance. And point made. Look, mate, we're infiltrating HYDRA. Our options are limited. Ward is a psychopath, but for now, he's our psychopath, so we use him to stay one step ahead."
Jiaying,"I've searched the records, no mention of precognition."
Gordon,"Raina could be the first of her kind. I was. A gift like hers could change everything. Imagine, she could warn us of threats before they happen."
Jiaying,If that is her gift.
Skye,"Ah, sorry. I didn't mean to interrupt."
Jiaying,"No, we're finished here."
Gordon,I'll let you know how it goes.
Skye,"Was that about Cal? I want to talk to you about that. Cal's dangerous, I know, but he's better when he's with us."
Jiaying,"That may be true, but he can't stay here."
Skye,"Well, could we give him a heads-up or..."
Jiaying,And risk how he gets? You think you've seen him at his worst. You haven't.
Skye,That's my point. You know how he'll get when Gordon just abandons him in the middle of nowhere.
Jiaying,Not nowhere... we're taking him home.
Skye,"It doesn't matter. He will feel abandoned, and people will get hurt."
Jiaying,Those people aren't my concern.
Skye,"Well, they're mine. I'm a S.H.I.E.L.D. agent."
Jiaying,"The longer he stays, the more attention he draws, the more attention he demands. I can't make exceptions. He's not one of us. Sometimes, as a leader, I have to do things I'd rather not do."
Coulson,Did you get the package?
Mike,Just like they said. I still don't trust them.
Coulson,"Hell, no, but we need them to trust us."
Ward,Something's not right. Why isn't May here? There's something Coulson's not saying.
Kara,Which is why we should make a run for it. The idea of them wiping away who you are...
Ward,"Hey, no one's gonna wipe anything. We have the upper hand. Whatever Coulson's endgame is doesn't matter because he is gonna help us get to ours."
Kara,What's this?
Ward,Thought we could put that on the windowsill.
Kara,It's beautiful. It's too bad. I liked our house.
Ward,"It won't be our last. Promise. At the end of this, you'll be home. And we'll be together."
Mike,Break it up. Let's go.
Coulson,This just gets better and better.
Ward,"Not to worry. We are working with Director Coulson. You're gonna do whatever he says, understand?"
Bakshi,Of course. I'm more than happy to comply.
Coulson,Get him out of there.
Cal,"Hey. Um... sorry. Uh, I was expecting Gordo."
Skye,He can't like you calling him that.
