character,line
Talbot,"I was here in 2012 when the sky tore open and the Chitauri rained down on us. Aliens. Aliens were running through the streets, and it was then that S.H.I.E.L.D. revealed themselves and stood with the Avengers, leading us to believe that we could put our faith in them, which we did. We stood idly by while they collected super-powered individuals, garnered alien weapons, built bases on virtually every continent. We thought S.H.I.E.L.D. was protecting us, but in truth, they took advantage of our good faith, and they still are."
Man,"Italy takes note of your report, general. Now, you say that you've seen S.H.I.E.L.D., even fought against them. But where is the proof? Where is... Aah! Che diavolo! Help!"
Officer,It's S.H.I.E.L.D.! Go! Freeze!
Woman,It's S.H.I.E.L.D.
Man,Get out! Get out!
Talbot,Go to the exit in the corner. Go! Come here. Come here.
Scarlotti,S.H.I.E.L.D. is done hiding.
Simmons,"5:30 on the dot every morning. But there's no clock, no light, no way he can know what time it is."
Skye,You've been watching him?
Simmons,"Every day before I left, every day since I got back. I don't know how you do it, going down there, talking to him."
Skye,"Sacrifices we make for valuable intel, right?"
Simmons,Yeah.
Skye,Jemma Simmons undercover at HYDRA.
Simmons,I thought I was a dead woman at least four times.
Skye,I'm glad you're not.
Simmons,"Me too. Be careful with him, Skye."
Skye,I am. What's happening?
May,There's been an attack on the U.N.
Reporter,"An attack today of the U.N. left six dead and dozens injured. Among the injured, S.H.I.E.L.D.'s biggest opponent, U.S. air force Brigadier General Glenn Talbot."
Talbot,"Sir, this wasn't us, was it?"
Coulson,"No, this is HYDRA looking for revenge. Best guess... Daniel Whitehall had his people impersonate S.H.I.E.L.D. to put the world's attention back on us."
Skye,So much for staying in the shadows.
Coulson,"Somebody bring this from home? I want you two scouring government channels, see what we're up against."
Triplett,"On it, sir."
Coulson,"And, Skye, this means the alien writing..."
Skye,Back burner. just until we get this under control.
Simmons,"Just saw the news. We're not responsible for this, are we, sir? Didn't think so. Just wanted to triple-check."
Morse,Marcus Scarlotti was behind the attack. An assassin... almost killed Barton a few years back. Runs a team of mercenaries... mostly for HYDRA.
Simmons,"Ah. The bodies just disintegrate. I saw references to this weapon in HYDRA's lab. Yeah, sent from their demolitions expert, uh, Toshiro..."
Morse,Toshiro Mori. I've crossed paths with him before. He has a lab in Okinawa.
Coulson,Good. Then that's where you're going. We need to find the location of the next attack and stop it before it happens. May's taking point on this op. You can meet her and Hunter in the hangar.
Morse,"Hunter's going? Got it. Thank you, sir."
Coulson,I need you to dig through the hard drive you brought back from Whitehall's lab.
Simmons,I'll find out whatever I can about those weapons.
Hunter,"Coulson, quick question."
Coulson,"No, this wasn't us."
Hunter,"Oh, tha... uh, great. Um... May said I'd be going on a mission with Bobbi?"
Coulson,Is that gonna be a problem?
Hunter,Did she say it was gonna be a problem?
Coulson,I won't dignify that with a response.
