character,line
May,"I've set autopilot to change bearing, altitude, and speed every couple of minutes."
Coulson,"I hate playing defense, but if AIDA drops in on us before we figure out how to stop her, it's game over."
May,Any word from Piper since she HALO'd out?
Coulson,"Not yet, but she knows what to do if this doesn't go our way."
May,"It has to go our way. And then, you're gonna explain why you drank that bottle of haig without me."
Coulson,"Fair enough, but we're gonna need another bottle to discuss what happened with that bottle."
Simmons,"So, is she human or inhuman?"
Fitz,Um... Both. Well... Neither. She was created from the darkhold.
Simmons,Is that how she got her inhuman powers?
Fitz,"That was me. I devised a procedure which extracted dormant inhuman DNA from subjects pre-terrigenesis. If you're writing a report, I should probably be more specific. I performed lethal experiments on approximately two dozen people, innocent people, people we've known from this world. Lincoln Campbell, Vijay Nadeer, Gordon from the afterlife..."
Simmons,"Fitz, I'm not making a report, and that wasn't really you."
Fitz,It was me. I can still hear the screams.
Simmons,"But you're also this man, and... we need to find a solution."
Fitz,"Well, my solutions only make things worse. They end up hurting or killing people."
Simmons,"Good. that's exactly the kind of solution we need right now, a way to kill AIDA. We've emptied a dozen bullets in her, and she didn't die. How do we kill her?"
Fitz,I don't know.
Simmons,Do you want to kill her?
Coulson,Vitals are stable. That's good.
Daisy,Should've forced mack to come back with us.
Coulson,Wasn't your decision to make.
Daisy,"Yeah, well, now we might lose both Mack and Yo-Yo."
Coulson,"Again, not your call. She went in with no extraction plan, no idea how to find Mack."
Daisy,"I think I may have been able to help her with that. No, no, no, no, no, no, no. No!"
Coulson,What? Did you do something?
Daisy,"No, this was not me. I didn't..."
Simmons,Are you guys seeing this? What's happening to the framework?
Elena,"Help! Somebody help me! Is anybody there?! Is anybody there? Please help me. Please. No, no, no! Please, no! No, no, no, no!"
Radcliffe,"Yo-Yo. You being here, it's madness."
Elena,I came here for mack.
Radcliffe,"Well, a Valiant but foolish endeavor."
Elena,How did you find me?
Radcliffe,"I kept discovering these, in my pockets, in the streets. I felt like a PAC-MAN gobbling up biscuits. Somebody wanted me to find you."
Elena,Daisy. Can you take me to Mack?
Radcliffe,I fear you're too late. Look. AIDA's shutting down the framework. It's collapsing on itself. This is what happens when you piss off your creator.
AIDA,Are you laughing at me?
Ivanov,To see a creature of logic and calculation now consumed with rage and hate. It's sweet.
AIDA,"Call me “sweet” one more time, and I'll rip the titanium spines out of all of you tin cans."
AIDA,A decision I regret.
Ivanov,there is that word again. “Regret.” You built an empire by eliminating the regrets of others. How does it taste on your tongue?
AIDA,I want to burn this world to the ground.
Ivanov,I thought you wanted to rule it.
AIDA,Don't mistake my anger for recklessness. The darkhold has shown us exactly what to do. It's just that I also want S.H.I.E.L.D. to suffer.
AIDA,Fitz. especially Fitz.
Robbie,I've come for that.
Robbie,You're not like those machines anymore. What have you done?
AIDA,I'll show you.
Coulson,How long before the framework's completely gone?
Simmons,"Fitz estimates between 12 and 20 hours. Looks so innocent, just numbers and symbols, but each thread of code has a corollary in the framework, a favorite blouse, a schoolhouse, a newborn child, they're all blinking out of existence forever."
Coulson,Mack and Yo-Yo? There's no guarantee that they'll survive until the end. Fitz and Daisy are doing everything they can to protect them and devise an exit.
Coulson,"General Talbot. General, I'm relieved that you're still alive."
Talbot,"Three of my finest aren't so fortunate, and I have no idea what killed them."
Coulson,"We lost good people, too. The short answer is they were murdered by a vanishing banshee made of matter from another dimension."
Talbot,You expect me to put that in my report?
Coulson,I have a cybernetic hand. I've been to an another planet. This stuff happens in S.H.I.E.L.D.
Talbot,"There's not going to be a S.H.I.E.L.D., not since director mace's autopsy report was leaked. I've got a dozen intelligence agencies who now know that mace wasn't an inhuman. They know S.H.I.E.L.D. lied about it, and they're wondering what else you might've lied about."
Coulson,"That was your lie, not ours."
