character,line
May,Simmons give you the all clear? You got banged up pretty good.
Fitz,"‭Yeah, no. I'm fine. I just... I feel foolish. I was so intent ‭on turning the beacon off, I didn't even consider that it might be wired to overheat and explode."
Coulson,"You can't blame yourself, Fitz. General Hale's declared war on us."
Fitz,"I'm afraid she's done something a whole lot worse than that. The basement's sealed off, but I sent the Dwarfs down to analyze the area after the explosion. This one was on its way down when the elevator stopped and opened on Level 27."
May,Looks like your drone took a wrong turn and went outside.
Fitz,"Wouldn't that be nice? Unfortunately, this immense forest now exists approximately 150 feet below us."
May,But there are clouds and... and sky.
Fitz,Which is why its underground existence should be very alarming.
Coulson,"I'd say that's impossible, but after our round trip to Tomorrowland, my threshold for preposterous is way out of whack. Theories?"
Fitz,"This is the only transmission received back from the basement so far. I think we're looking at what happens when three monoliths are blown up together. They somehow blew a hole in space-time, and that thing... that thing right there is another dimension bleeding back into our world."
Coulson,"So, the good news is Daisy might not be the one responsible for tearing the Earth apart."
Fitz,Bad news is end of the world may have already begun.
Simmons,Sorry. Is it too tight?
Simmons,And the pain?
Elena,"So-so now, but, sometimes, my fingers feel like they're on fire."
Simmons,I'm so sorry. Daisy's getting more supplies so we can make you comfortable.
Elena,"Thank you, Jemma."
Simmons,I'll give you some time.
Elena,"You look scared, Turtleman."
Mack,Of course I am. The woman I love ‭nearly died in front of me.
Elena,I'm not gonna die. Not yet.
Mack,That's good to hear. I'm gonna do everything I can to help. I'm sorry. I just get so angry. To make it back ‭from that fractured future only to watch you get... get butchered.
Elena,I'll get through this as long as I have you.
Mack,"You're the only world I care about. You say the word, and I'll carry you out of here and never look back."
Elena,"Thank you for that but we have to stay and fight. The things I heard in the future, they're all coming true, faster than imagined. We can't leave."
Daisy,"Okay, so, we need to find where they keep the medication. Something for nerve pain."
Deke,"Whoa. “Orange scented.” That's amazing. Oh, my!"
Daisy,"Okay, snack time's over, Huckleberry. Simmons is waiting."
Deke,"It's nearly impossible to get fresh fruits and vegetables. But e-every year for my birthday, my mom would find me a big, juicy orange."
Daisy,Sounds like a nice tradition.
Deke,"Yeah, it was. I loved the way my hands smelled after. What about you? Did you have any ‭special birthday traditions growing up?"
Daisy,Nope.
Deke,Seriously? Nothing? Were you just raised in a house by sucky parents?
Daisy,"More like an orphanage with mean, scary nuns."
Deke,"Oh, I'm... I'm sorry. I didn't mean to be a jerk."
Daisy,Really?
Deke,"Well, I mean sometimes I do, because I think it's funny, but not just then. I thought ‭we were having a moment."
Daisy,"Just to be clear, you and I have never had a moment. That was just you telling me a story about your very nice mom and an orange. Deke!"
Fitz,It's our fears come to life.
May,"What the hell are you talking about, Fitz? What fear?"
Fitz,"I'm still trying to piece it all together. But here. Watch this. It's low-res, but it's all I could salvage from one of the dwarfs."
May,This can't be.
Coulson,Fitz?
