character,line
Sam,These aren't the droids you're looking for.
Billy,I've got a bad feeling about this.
Sam,"Roads? Where we're going, we don't need... roads."
Billy,"Curse my metal body! I wasn't fast enough! Help me, Obi-Wan. Ow. God. I think I'm gonna stick with the “one foot in front of the other” method of self-propulsion."
Sam,Just relax. Keep practicing. I'll go get us another round.
Billy,"Yeah, fine."
Billy,Who's your zombie-killing daddy now? Bam.
Sam,Sam to Billy. Sam to Billy!
Man,"There's nowhere to go! Surrender, and you will not be harmed! I'll give you to the count of three! 1, 2..."
Shockley,Throw him in! Let's go!
Sam,"Agent Coulson, this is Agent Koenig. They've got Agent Koenig. I repeat they've got Agent Koenig!"
Daisy,Which one?
Coulson,Billy. He was abducted an hour ago.
Daisy,Any possible motive?
Coulson,He has the Darkhold. I gave it to him because he knows how to make things disappear.
May,And now someone's made him disappear. Can't be a coincidence.
Coulson,"May's the only one who would know I gave it to Billy, so I think we know where to point the finger."
Daisy,Radcliffe.
Coulson,"He's been desperate to get his hands on that book, and he's had eyes and ears on this base for God knows how long. But still, kidnapping a Koenig? That's like catching moonlight."
Daisy,We can't even find them half the time.
Coulson,"If Radcliffe has aligned himself with Nadeer, they'd have the resources to find him."
Daisy,Why would he join forces with Public Inhuman Hater number one? He has nothing against us.
Coulson,She's got to be a means to an end. He needs access and protection. Davis?
Davis,They picked up Agent Koenig. His Quinjet will be docking shortly.
Coulson,"Hopefully, Sam will have some more information for us. If we can find who took Billy, we may be able to connect them back to Nadeer."
May,And Radcliffe?
Coulson,Fitz is working on it.
Radcliffe,I'm not going to let this come between us. What's the occasional bullet in the head among friends?
Fitz,Done. Now talk. Where's Radcliffe?
Radcliffe,"I'm right in front of you, and... you've paralyzed me from the neck down."
Fitz,Hey. Where is he?
Radcliffe,"Sorry, Fitz. You don't get to shoot first and ask questions later."
Simmons,We'll shoot whenever we damn please.
Mack,"And this time, nobody's gonna put you back together again."
Radcliffe,"What I meant is, I don't precisely know where I... where Dr. Radcliffe currently is at this precise moment. I could be out for a walk or getting groceries."
Mack,That's enough.
Fitz,"Hey, hey, I need his CPU in one piece, not scattered all over the lab."
Radcliffe,"I'm not trying to be difficult. You need to understand, I'm the victim. Things are not as they seem."
Shockley,You two will want to get acquainted. You're the last one the other's gonna see alive.
Billy,"Yeah, well, we're ready to die."
Radcliffe,"No! No. No, no, no, no. I'm extremely not ready to die."
Billy,"Cut off my fingers, eat my liver, it doesn't matter. Nothing you do is gonna make me talk."
Radcliffe,You must've sustained some brain damage during your last torture.
Shockley,"That... wasn't torture. That was a greeting. Now, the one who comes in this room next won't be me. The man who comes in here will do things to you that I can't even watch. He will break you."
Billy,"Yeah, well, Koenigs don't break. All right? We're programmed to take pain, so bring it on! Bring it on! Oh, my God. I'm in so much pain. I don't think I can take this. That guy hits really hard. Do you have any, uh, any, like, cyanide or..."
Radcliffe,Cyanide? Why would I...
Billy,"Or, like, a paper bag. You put it over my head, you suffocate me really quick."
Radcliffe,This is all my fault. I'm so sorry.
Billy,Who are you?
